x,y,t
0,0,0
1,0,3152
2,0,3391
3,0,3568
4,0,3761
4,1,4993
4,2,6079
3,2,6401
2,2,6672
2,3,7296
1,3,7663
0,3,7888
0,4,11520
0,5,11776
0,6,12352
0,7,12751
1,7,13632
2,7,13840
3,7,14065
3,6,15329
4,6,15729
3,6,16224
2,6,16623
1,6,17073
1,5,17520
1,4,17873
1,3,18415
2,3,19008
3,3,24305
3,4,25025
4,4,25376
4,3,25920
5,3,30193
6,3,30416
7,3,30592
7,4,31328
7,5,31504
7,6,31696
7,7,31887
6,7,32511
6,6,33151
6,5,33343
6,4,33535
6,3,33727
5,3,35168
5,4,36096
5,5,36384
5,4,36816
5,3,37056
5,2,37264
5,1,37456
5,0,37729
6,0,38384
6,1,38801
6,2,39121
7,2,39616
