x,y,t
0,0,0
1,0,1269
2,0,1583
3,0,1970
4,0,2352
5,0,2753
6,0,3245
6,1,3949
5,1,4616
4,1,4979
4,2,5713
3,2,6188
2,2,6630
3,2,8112
4,2,8421
5,2,8744
6,2,9054
7,2,9401
7,3,10079
7,4,10328
7,5,10501
7,6,10652
7,7,10829
6,7,11377
6,6,11662
6,5,11812
6,4,12028
6,3,12163
5,3,13144
5,4,13832
5,5,14306
5,4,15052
4,4,15276
3,4,15576
3,3,16599
4,3,17964
3,3,18387
2,3,18731
1,3,19013
0,3,19295
0,4,20069
0,5,20244
0,6,20509
0,7,20817
0,6,22952
0,5,23147
0,4,23323
1,4,24171
1,5,24513
1,6,24730
1,7,25081
2,7,25482
2,6,26073
3,6,26376
3,7,27276
3,6,27685
4,6,28016
