x,y,t
0,0,0
1,0,24490
2,0,25132
3,0,25508
4,0,29123
5,0,29490
6,0,29860
6,1,30543
6,2,31691
7,2,32177
7,3,32845
7,4,33152
7,5,33398
7,6,33675
7,7,33930
6,7,34715
6,6,35631
6,5,36083
6,4,36677
6,3,37383
5,3,38819
5,2,39961
5,1,40444
4,1,41529
4,2,43755
4,3,44310
4,4,45666
5,4,48480
5,5,49038
5,4,50385
4,4,52497
3,4,52983
3,3,53825
3,2,54335
2,2,55095
2,3,55692
1,3,56366
0,3,56872
0,4,57934
1,4,58703
1,5,59431
0,5,60301
0,6,61471
0,7,65955
1,7,66596
1,6,67516
2,6,68752
2,7,69539
3,7,70233
3,6,70898
4,6,71585
