x,y,t
0,0,0
1,0,3454
2,0,3957
3,0,3989
4,0,4020
5,0,4051
6,0,4079
6,1,5257
5,1,5821
4,1,6323
4,2,16182
3,2,16858
2,2,17349
2,3,19326
1,3,19816
0,3,20321
0,4,42367
0,5,42867
0,6,42898
0,7,42927
1,7,44354
2,7,44859
3,7,44886
3,6,46060
4,6,46580
3,6,47475
2,6,47981
1,6,48011
1,5,50471
1,4,51259
1,3,51879
2,3,63417
3,3,63754
3,4,64549
4,4,64965
4,3,65574
4,2,67663
5,2,68193
5,3,68793
5,4,69084
5,5,69411
6,5,72704
6,6,73216
6,7,73602
7,7,73945
7,6,74860
7,5,75364
7,4,75396
7,3,75424
7,2,75454
7,3,76315
7,2,77360
6,2,78040
6,3,78455
6,4,78851
