x,y,t
0,0,0
1,0,1720
2,0,1936
3,0,2128
4,0,2336
5,0,2537
6,0,2736
6,1,3969
6,2,4456
7,2,5145
7,3,5768
7,4,6089
7,5,6393
7,6,6705
7,7,7026
6,7,9889
6,6,10529
6,5,11057
6,4,14256
6,3,14833
5,3,15377
5,2,15889
5,1,16329
4,1,17113
4,2,17657
4,3,18073
4,4,19498
5,4,19977
5,5,20617
5,4,21161
5,3,21833
5,4,22601
4,4,22953
3,4,23249
3,3,23761
3,2,24168
2,2,24529
2,3,25041
1,3,25418
0,3,26385
0,4,27273
0,5,27553
0,6,27801
0,7,28185
1,7,28642
2,7,28978
3,7,29345
3,6,29930
4,6,30385
3,6,30873
2,6,31178
1,6,31449
1,5,31945
1,4,32289
