x,y,t
0,0,0
1,0,920
2,0,1062
3,0,1364
4,0,1528
5,0,1699
6,0,2096
6,1,2437
5,1,2786
4,1,2971
4,2,3966
3,2,4297
2,2,4678
2,3,5502
1,3,5999
0,3,6168
0,4,6620
1,4,6939
1,5,7235
0,5,7562
0,6,7851
1,6,10502
2,6,10669
3,6,10991
4,6,11328
3,6,12022
3,7,12264
2,7,12530
1,7,12716
0,7,13388
0,6,13796
0,5,13956
0,4,14099
0,3,14262
1,3,14619
2,3,15190
2,2,15539
3,2,16015
4,2,16207
5,2,16377
6,2,16548
7,2,16708
7,3,16994
7,4,17212
7,5,17322
7,6,17465
7,7,17617
6,7,17964
6,6,18506
6,5,18671
6,4,18952
6,3,19231
5,3,19653
4,3,19844
3,3,20062
3,4,20353
4,4,20774
5,4,20937
5,5,21303
