x,y,t
0,0,0
1,0,1448
2,0,1596
3,0,1752
4,0,1900
5,0,2050
6,0,2190
6,1,2437
5,1,2678
4,1,2863
4,2,3924
3,2,4079
2,2,4248
2,3,4708
1,3,5590
0,3,5759
0,4,6183
1,4,6358
1,5,6591
0,5,6788
0,6,7436
0,7,7629
1,7,7935
1,6,8097
2,6,8300
2,7,8542
3,7,8714
3,6,8899
4,6,9090
3,6,9741
2,6,9897
1,6,10298
1,5,10455
1,4,10609
1,3,10776
2,3,10983
3,3,11155
3,4,11385
4,4,11555
4,3,11742
5,3,12049
5,4,12222
5,5,12435
6,5,12683
6,6,12811
7,6,13088
6,6,13486
6,7,13631
7,7,13760
7,6,13924
7,5,14088
7,4,14233
7,3,14395
7,2,14558
6,2,14697
7,2,14962
6,2,15096
5,2,15280
6,2,15397
6,3,15553
6,4,15707
