x,y,t
0,0,0
1,0,2236
2,0,2673
3,0,3034
4,0,18113
4,1,20711
5,1,21203
5,0,22145
6,0,22760
6,1,23527
6,2,23928
7,2,24516
7,3,25617
7,4,25975
7,5,26240
7,6,26569
7,7,26857
6,7,27646
6,6,28210
6,5,28867
5,5,30366
5,4,30833
6,4,31399
6,3,32064
5,3,32899
5,2,33444
4,2,35042
4,3,36714
4,4,37159
3,4,37616
3,3,38610
3,2,38950
2,2,39592
2,3,40123
1,3,40641
0,3,41007
0,4,41724
1,4,42870
1,5,43551
0,5,44022
0,6,45365
0,7,49424
1,7,50190
1,6,50689
0,6,51334
1,6,52462
2,6,52978
2,7,54256
3,7,55520
3,6,55952
4,6,56401
