x,y,t
0,0,0
1,0,1686
2,0,4287
3,0,4670
4,0,5021
5,0,5385
6,0,5854
6,1,6520
6,2,7953
7,2,8737
7,3,9420
7,4,9596
7,5,9780
7,6,10034
7,7,10557
6,7,11023
6,6,11721
6,5,12387
6,4,12791
6,3,13437
5,3,14523
5,2,15860
5,1,16341
4,1,17116
4,2,17905
3,2,18937
2,2,19489
2,3,20206
1,3,20622
0,3,21256
0,4,21954
0,5,22353
0,6,22604
0,7,22970
1,7,26007
2,7,26437
3,7,26954
3,6,27555
4,6,28921
3,6,30156
2,6,30571
1,6,31053
1,5,31688
1,4,34089
1,3,34871
2,3,37807
3,3,38268
3,4,38953
3,3,40507
4,3,42289
4,4,42837
5,4,43385
5,5,44069
