x,y,t
0,0,0
1,0,4301
2,0,4667
3,0,4868
4,0,5051
5,0,5251
6,0,5718
6,1,6284
5,1,7251
4,1,7568
4,2,16286
5,2,16752
6,2,16936
7,2,17136
7,3,17702
7,4,17901
7,5,18086
7,6,18286
7,7,18569
6,7,19353
6,6,19669
6,5,19853
6,4,20036
6,3,20219
5,3,20786
5,4,21203
5,5,22453
5,4,22769
4,4,23153
3,4,30670
3,3,31054
4,3,32287
3,3,32737
3,2,33121
2,2,33653
2,3,34153
1,3,34770
0,3,35170
0,4,35687
0,5,35937
0,6,36121
0,7,36321
1,7,36920
2,7,37154
3,7,37371
3,6,37937
4,6,38304
3,6,38688
2,6,38871
1,6,39054
1,5,39504
1,4,39871
