x,y,t
0,0,0
1,0,6208
2,0,6455
3,0,6614
4,0,6755
5,0,6914
6,0,7090
6,1,7926
5,1,8196
4,1,8393
4,2,8803
3,2,9516
2,2,9700
2,3,12992
1,3,14593
0,3,14779
0,4,15253
1,4,18515
1,5,19050
1,6,24198
2,6,25781
3,6,25950
4,6,26196
3,6,27175
3,7,27328
2,7,27859
1,7,28057
0,7,28245
0,6,28673
0,5,28893
0,4,29745
0,3,29908
1,3,32087
2,3,32333
2,2,35442
3,2,35863
4,2,36364
5,2,36443
6,2,36526
7,2,36610
7,3,37337
6,3,38216
5,3,38415
4,3,38568
3,3,38757
3,4,39174
4,4,39504
5,4,39677
6,4,39823
7,4,39972
7,5,40491
7,6,41789
7,7,42006
6,7,42446
6,6,42737
6,5,43018
5,5,43329
