x,y,t
0,0,0
1,0,4769
2,0,5118
3,0,5418
4,0,5784
5,0,6020
6,0,6235
6,1,7102
6,2,8418
7,2,9435
7,3,10335
7,4,10652
7,5,10903
7,6,11300
7,7,11685
6,7,12602
6,6,13502
6,5,13953
6,4,14286
6,3,14652
5,3,19370
5,2,20319
5,1,20753
4,1,21419
4,2,24003
3,2,25003
2,2,25420
2,3,35571
1,3,37588
1,4,39071
1,5,39671
1,6,40337
2,6,41955
3,6,42288
4,6,42672
3,6,43774
3,7,44171
2,7,44855
1,7,45205
0,7,45556
0,6,46622
0,5,46973
0,4,47222
0,3,47589
1,3,49306
2,3,49772
3,3,51624
4,3,52072
5,3,52922
5,4,54139
5,5,54605
5,4,55189
4,4,55606
3,4,55939
