x,y,t
0,0,0
1,0,2092
2,0,2497
3,0,3246
4,0,4063
5,0,6553
6,0,6906
6,1,8004
5,1,8418
4,1,8687
4,2,9882
3,2,10987
2,2,11354
2,3,13540
1,3,13917
0,3,14430
0,4,18650
0,5,19023
0,6,19333
0,7,19752
1,7,21196
2,7,21563
3,7,21755
3,6,25895
4,6,26900
3,6,28157
2,6,28489
1,6,29227
1,5,30249
1,4,32293
1,3,34351
2,3,35549
3,3,35719
3,4,36561
4,4,37652
5,4,39647
5,5,40072
6,5,41178
6,6,41800
6,7,42365
7,7,43335
7,6,43750
7,5,43980
7,4,44417
6,4,45505
7,4,47195
7,3,48044
6,3,48586
5,3,49004
4,3,50450
4,2,50731
5,2,51880
6,2,52049
7,2,52234
