x,y,t
0,0,0
1,0,2615
2,0,3065
3,0,3945
4,0,7430
5,0,7825
6,0,8143
6,1,13064
6,2,13912
7,2,14610
7,3,15162
7,4,15685
7,5,16041
7,6,16432
7,7,16741
6,7,17174
6,6,18355
6,5,18636
6,4,18983
6,3,19394
5,3,20473
5,4,21044
5,5,21353
5,4,21832
4,4,23563
3,4,24164
3,3,33755
4,3,34425
4,2,36247
5,2,36627
5,1,36990
4,1,37334
4,2,37778
3,2,38051
2,2,38410
2,3,38789
1,3,39079
0,3,39392
0,4,39725
1,4,40040
1,5,40509
0,5,40822
0,6,41261
1,6,41589
2,6,41854
3,6,42085
4,6,42320
3,6,43189
3,7,43456
2,7,43765
1,7,44034
0,7,44270
