x,y,t
0,0,0
1,0,2654
2,0,2910
3,0,4445
4,0,4845
5,0,5230
6,0,5646
6,1,5998
5,1,6382
4,1,6766
4,2,7326
3,2,8382
2,2,8942
2,3,9309
1,3,9566
0,3,9950
0,4,15453
1,4,15886
1,5,16350
0,5,16749
0,6,17166
0,7,20846
1,7,21374
1,6,21710
2,6,37919
3,6,38206
4,6,39294
3,6,39614
3,7,39919
2,7,40254
2,6,40606
1,6,41342
1,5,41678
1,4,41919
1,3,42142
2,3,42478
3,3,42846
3,4,45790
4,4,46142
5,4,46894
5,5,47278
6,5,48174
6,6,48686
6,7,49182
7,7,49534
7,6,49934
7,5,50446
7,4,51822
6,4,52254
6,3,53198
5,3,53550
4,3,53934
5,3,54190
5,2,54446
6,2,54990
7,2,55519
7,3,55822
