x,y,t
0,0,0
1,0,2785
2,0,3035
3,0,3236
4,0,3535
4,1,4503
4,2,5173
3,2,5637
2,2,6271
2,3,6805
1,3,7172
0,3,8073
0,4,8489
1,4,8873
1,5,9290
0,5,10374
0,6,10892
0,7,11892
1,7,12309
1,6,12726
2,6,13481
2,7,14027
3,7,14411
3,6,16896
4,6,17379
3,6,18580
2,6,19031
1,6,19414
1,5,19731
1,4,20048
1,3,20315
2,3,20617
3,3,21115
3,4,22685
4,4,24456
4,3,24936
5,3,27370
5,2,27740
5,1,29122
5,0,29455
6,0,30390
6,1,30790
6,2,31206
7,2,32841
7,3,33292
6,3,35544
6,4,37027
5,4,37478
5,5,37995
6,5,41865
6,6,43183
6,7,43666
7,7,45217
7,6,45718
7,5,45968
7,4,46151
