x,y,t
0,0,0
1,0,1681
2,0,1917
3,0,2097
4,0,5056
5,0,5382
6,0,5629
6,1,6169
5,1,6541
4,1,6799
4,2,10996
3,2,11390
2,2,16959
2,3,17690
1,3,18230
1,4,18590
1,5,18883
1,6,19389
2,6,20143
3,6,20413
4,6,21470
3,6,21887
3,7,22516
2,7,22910
1,7,23169
0,7,23473
0,6,23833
0,5,24069
0,4,24283
0,3,24497
1,3,26488
2,3,27591
3,3,27861
3,4,28592
4,4,29143
5,4,29807
5,5,30201
6,5,31371
6,6,31753
6,7,32147
7,7,32608
7,6,33036
7,5,33328
7,4,33632
7,3,33958
7,2,34330
6,2,34712
5,2,35117
5,3,39629
4,3,40090
5,3,40675
6,3,40945
6,4,41327
