x,y,t
0,0,0
1,0,2088
2,0,3496
3,0,3671
4,0,3850
5,0,4392
6,0,5097
6,1,5854
5,1,7023
4,1,7668
4,2,9401
3,2,13046
2,2,13689
2,3,15149
1,3,16481
0,3,16976
1,3,17747
2,3,18296
3,3,19824
4,3,20455
5,3,20672
5,2,21803
6,2,22417
7,2,22996
7,3,24146
6,3,25231
7,3,26390
7,4,26924
6,4,27817
5,4,27995
4,4,28153
3,4,28312
3,3,29863
2,3,30757
1,3,31345
0,3,32115
0,4,32978
1,4,33861
1,5,35123
0,5,36755
0,6,37365
0,7,38037
1,7,38841
1,6,39755
1,7,40949
2,7,41841
3,7,42391
3,6,43279
4,6,44502
3,6,45523
2,6,46011
1,6,46961
0,6,48381
0,5,48879
0,4,49204
0,3,49387
1,3,50789
2,3,51804
3,3,51977
4,3,52153
5,3,52351
6,3,53150
6,4,54812
6,5,55696
7,5,56729
7,6,57829
7,7,58542
6,7,59475
6,6,60318
6,5,60912
5,5,61838
