x,y,t
0,0,0
1,0,22739
2,0,23119
3,0,23513
4,0,23948
5,0,26089
5,1,26670
5,2,26947
5,3,27423
5,4,27855
5,5,28266
5,6,28790
5,7,30455
5,8,30920
6,8,31587
6,9,32086
5,9,33063
4,9,33458
3,9,33838
2,9,34152
1,9,34445
0,9,34794
0,8,35489
0,7,35845
0,6,36184
0,5,36556
0,4,36879
0,3,37238
0,2,37596
1,2,39934
1,1,43321
2,1,43679
3,1,44091
3,0,47048
4,0,47443
5,0,47936
6,0,49150
7,0,49494
8,0,49859
9,0,50294
9,1,51206
8,1,51511
7,1,51877
7,2,52796
6,2,55488
6,3,55872
6,4,56775
7,4,57951
8,4,58393
9,4,66861
9,3,67840
9,2,68257
8,2,69125
7,2,69551
6,2,69994
5,2,70419
4,2,70791
4,3,71577
3,3,72739
2,3,73040
1,3,73429
1,4,73921
2,4,74684
3,4,75059
3,5,75732
4,5,76223
4,6,77925
3,6,78275
2,6,78569
1,6,78976
1,7,79429
2,7,80297
3,7,80619
2,7,85162
1,7,85537
1,8,85969
2,8,86447
3,8,86809
3,7,87805
4,7,88121
5,7,88776
6,7,89064
7,7,89367
8,7,91338
8,8,92287
8,9,92611
8,8,93695
9,8,93996
9,7,94740
9,6,95020
8,6,95973
8,5,98852
9,5,100316
8,5,101282
7,5,101615
7,4,106204
6,4,106573
5,4,106979
5,5,107526
5,6,107979
6,6,108335
