x,y,t
0,0,0
1,0,3787
2,0,4299
3,0,4331
4,0,4361
5,0,4396
6,0,4426
7,0,4462
8,0,4489
9,0,4518
9,1,5604
9,2,5748
9,3,5930
9,4,6082
9,5,6418
9,6,6562
9,7,6772
9,8,6932
8,8,7490
8,9,8010
8,8,8378
8,7,8618
7,7,9449
6,7,9730
6,8,10194
6,9,10514
5,9,10883
5,8,11412
5,7,11786
4,7,12139
3,7,12418
3,8,13138
3,9,13434
4,9,13780
3,9,14026
2,9,14210
1,9,14507
0,9,14634
0,8,15259
1,8,15778
2,8,15962
2,7,16227
1,7,16747
0,7,16970
0,6,17362
1,6,18139
2,6,18651
3,6,18682
4,6,18714
5,6,18749
6,6,18948
5,6,19498
5,5,19922
4,5,20419
3,5,20595
3,4,21092
2,4,21562
1,4,21722
0,4,21938
0,5,22466
0,4,22745
0,3,22937
0,2,23402
1,2,23818
1,1,24146
2,1,24546
3,1,24755
2,1,25450
1,1,25642
1,2,26276
1,3,26539
2,3,26858
3,3,27050
4,3,27266
4,2,27834
5,2,28245
5,1,28634
5,2,29018
6,2,29315
7,2,29602
7,1,30210
8,1,30636
8,2,31219
7,2,31618
6,2,31818
5,2,32082
5,3,32554
6,3,32866
6,4,33259
5,4,33603
6,4,33939
7,4,34138
8,4,34402
8,5,34866
8,6,35106
8,5,35442
7,5,35788
