x,y,t
0,0,0
1,0,1941
1,1,4275
2,1,4710
2,0,5249
3,0,5584
3,1,5926
3,0,6638
4,0,6904
5,0,7184
5,1,7676
5,0,8104
6,0,8481
7,0,8778
8,0,9067
9,0,9320
9,1,9766
8,1,10198
7,1,10513
7,2,10989
8,2,11252
9,2,11601
9,3,12014
9,4,12313
9,5,13014
9,6,13628
9,7,13658
9,8,13689
8,8,14460
8,9,14939
8,8,15471
8,7,16085
8,6,16113
8,5,16144
8,4,16174
7,4,16888
7,5,17681
7,4,18589
6,4,18965
5,4,19580
5,3,21403
6,3,21767
6,2,23015
5,2,23431
4,2,23816
4,3,24422
3,3,24800
2,3,25421
1,3,25816
1,2,26766
0,2,27113
0,3,27768
0,4,28159
1,4,29945
2,4,30566
3,4,30691
3,5,31234
4,5,31706
5,5,32044
5,6,32465
6,6,32744
6,7,33189
7,7,33501
6,7,34429
6,8,34906
6,9,36198
5,9,36882
5,8,37354
5,7,37764
4,7,38251
4,6,38629
3,6,38942
3,7,39291
2,7,39622
2,6,40144
1,6,40539
1,7,41219
0,7,41589
0,6,41959
0,5,42182
0,6,42617
0,7,43231
0,8,43261
0,9,43291
1,9,44506
1,8,44887
2,8,45210
2,9,45531
3,9,45809
3,8,46235
3,9,46752
4,9,46957
