x,y,t
0,0,0
1,0,164
2,0,610
3,0,634
4,0,660
5,0,680
6,0,711
7,0,734
8,0,776
9,0,802
9,1,1086
8,1,1356
7,1,1562
7,2,1949
6,2,2151
5,2,2399
5,1,2716
5,0,3339
4,0,3484
3,0,3897
3,1,4166
2,1,4455
1,1,4662
1,2,4969
0,2,5225
0,3,5648
1,3,5939
2,3,6158
3,3,6336
4,3,6522
5,3,6702
6,3,6881
6,2,7161
7,2,7373
8,2,7623
9,2,7830
9,3,8030
9,4,8276
8,4,8534
7,4,8752
6,4,8946
5,4,9121
5,3,9426
4,3,9609
3,3,9912
3,4,10142
2,4,10344
1,4,10567
0,4,10760
0,5,10949
0,6,11190
1,6,11651
2,6,11847
3,6,12060
3,5,12426
4,5,12603
5,5,12845
5,6,13113
4,6,13316
4,7,15302
3,7,15540
2,7,15984
1,7,16011
0,7,16039
0,8,16340
1,8,16627
2,8,17070
3,8,17101
3,9,17551
2,9,17747
1,9,18193
0,9,18226
1,9,18406
2,9,18847
3,9,18873
4,9,18902
5,9,18920
6,9,18949
6,8,19214
5,8,19477
5,7,19759
6,7,20041
7,7,20483
8,7,20518
9,7,20564
9,8,20872
8,8,21107
8,9,21275
8,8,21599
8,7,22043
9,7,22311
9,6,22639
9,5,22867
8,5,23094
8,6,23416
8,5,23639
7,5,23768
7,4,24628
6,4,25437
5,4,25650
5,3,25900
4,3,26078
4,2,26342
4,3,30622
5,3,31033
5,4,31226
5,5,31610
5,6,32174
4,6,32409
5,6,32468
6,6,32845
