x,y,t
0,0,0
1,0,18401
1,1,19288
2,1,19637
2,0,20167
3,0,20525
3,1,21729
3,0,24069
4,0,24509
5,0,25500
6,0,27400
7,0,27612
8,0,27758
9,0,27960
9,1,28412
8,1,28817
7,1,29762
7,2,30751
6,2,31044
5,2,31483
5,1,32101
5,2,33181
5,3,33475
6,3,34768
6,4,35184
7,4,35623
8,4,35858
9,4,36050
9,3,36523
9,2,36724
8,2,37367
9,2,38559
9,3,38875
9,4,39053
9,5,39210
9,6,39335
9,7,39491
9,8,39785
8,8,40100
8,9,40417
8,8,40719
8,7,40909
8,6,41078
8,5,41269
7,5,41687
7,4,43183
6,4,43644
5,4,43834
5,3,44319
5,2,45242
4,2,45725
4,3,46029
3,3,46310
2,3,47042
1,3,47288
1,2,47627
0,2,47987
0,3,48325
0,4,48525
1,4,49022
2,4,49224
3,4,49382
3,5,49921
4,5,50225
5,5,50450
5,6,51721
6,6,51968
6,7,52361
7,7,52699
6,7,53834
6,8,54081
6,9,54364
5,9,54744
4,9,54934
3,9,55104
2,9,55227
1,9,55395
0,9,56173
0,8,56644
0,7,56777
0,6,56957
0,5,57151
0,6,57569
1,6,57903
2,6,58084
3,6,58250
4,6,58430
4,7,59015
5,7,59331
5,8,59759
5,7,60692
4,7,61039
3,7,61186
2,7,61365
1,7,61535
1,8,61883
2,8,62186
3,8,62387
