x,y,t
0,0,0
1,0,1000
1,1,1177
2,1,1427
3,1,1822
3,0,2981
2,0,3327
1,0,4663
1,1,4812
1,2,5074
0,2,5381
0,3,5682
0,4,5914
0,5,6353
0,6,6375
0,7,6399
0,8,6424
0,9,6447
1,9,6842
2,9,7282
3,9,7305
4,9,7327
5,9,7352
6,9,7377
6,8,7847
6,7,8206
5,7,8803
5,8,9087
5,9,9443
4,9,9665
3,9,9946
3,8,10487
2,8,10811
1,8,11038
1,7,11350
1,6,11589
2,6,11917
2,7,12074
3,7,12316
4,7,12667
4,6,12922
3,6,13332
3,5,13854
3,4,14086
2,4,14414
1,4,14636
1,3,15540
2,3,15845
3,3,16040
4,3,16235
4,2,16547
5,2,16816
5,1,17207
5,0,17738
4,0,18079
5,0,18399
6,0,18634
7,0,19082
8,0,19291
9,0,19482
9,1,19727
8,1,20048
7,1,20316
7,2,20651
6,2,20893
6,3,21229
5,3,21575
5,4,22119
6,4,23646
7,4,24050
8,4,24257
9,4,24648
9,3,24867
9,2,25064
8,2,25768
9,2,25955
9,3,26294
9,4,26525
9,5,26733
9,6,27172
9,7,27194
9,8,27219
8,8,27739
8,9,28118
8,8,28989
8,7,29190
7,7,29676
6,7,30051
6,6,30807
5,6,31138
5,5,31464
4,5,31930
5,5,32299
5,4,32606
6,4,32863
7,4,33149
7,5,33364
8,5,33588
8,6,33830
