x,y,t
0,0,0
1,0,6860
2,0,7084
3,0,7278
4,0,7471
5,0,7663
6,0,7851
7,0,8040
8,0,8215
9,0,8424
9,1,8905
9,2,11053
9,3,11501
9,4,11858
9,5,12124
9,6,12390
9,7,12628
9,8,12904
8,8,17598
8,9,17936
8,8,18411
8,7,18747
8,6,18979
8,5,19215
8,4,19490
7,4,19963
6,4,20293
6,3,20716
6,2,21041
7,2,21507
8,2,21879
8,1,22305
7,1,22686
7,2,24177
6,2,24645
5,2,24928
5,1,25373
5,2,26604
4,2,27344
5,2,28033
5,3,28519
4,3,29182
3,3,29630
2,3,29947
1,3,30985
1,2,31414
1,1,31692
2,1,32050
3,1,32318
2,1,32792
1,1,33121
1,2,33828
0,2,34940
0,3,35530
0,4,35921
1,4,36333
2,4,36589
3,4,37032
3,5,38024
4,5,38438
5,5,38686
5,4,39248
5,5,39992
5,4,40895
6,4,41240
7,4,41505
7,5,41856
7,4,42319
6,4,42755
5,4,42987
5,5,43562
5,6,43887
6,6,44246
6,7,44750
7,7,45255
6,7,45856
6,8,46371
6,9,46745
5,9,47270
5,8,47727
5,7,48149
4,7,48723
4,6,49149
3,6,49606
3,7,50204
3,8,50588
3,9,51334
4,9,51634
3,9,52055
2,9,52426
1,9,53302
0,9,53572
0,8,54038
0,7,54279
0,6,54568
0,5,54967
0,6,55423
1,6,55812
2,6,56235
2,7,56642
2,8,57102
1,8,57579
1,7,57949
