x,y,t
0,0,0
1,0,19600
2,0,19859
3,0,20050
4,0,20248
5,0,20506
6,0,20775
7,0,21146
8,0,21544
9,0,22984
9,1,24660
8,1,25512
7,1,25923
7,2,26955
8,2,27573
9,2,28068
9,3,28711
9,4,30002
9,5,33737
9,6,33979
9,7,34175
9,8,34376
8,8,35825
8,9,36476
8,8,38306
8,7,43150
8,6,43539
8,5,43729
8,4,43927
7,4,44645
6,4,45153
6,3,46631
6,2,47112
5,2,47627
5,1,49095
5,2,50617
4,2,51545
4,3,52152
5,3,54641
5,4,55326
5,5,55944
5,6,56478
5,5,58500
5,4,58736
5,3,58944
5,4,59530
6,4,60027
7,4,60234
8,4,60369
7,4,60994
7,5,61672
7,4,62148
6,4,68827
5,4,69354
5,5,70056
5,6,70712
6,6,71151
6,7,74625
7,7,75102
6,7,76042
6,8,76426
6,9,76940
5,9,78281
5,8,78990
5,7,79447
4,7,81174
3,7,81807
3,8,82263
3,9,82837
4,9,83263
3,9,83871
2,9,84160
1,9,84400
0,9,84594
0,8,85303
0,7,85525
0,6,85704
0,5,85876
0,4,86027
0,3,86202
0,2,86344
1,2,87813
1,1,88195
2,1,89378
3,1,90822
2,1,91270
1,1,91737
1,2,92200
1,3,92651
2,3,93137
3,3,95078
3,4,95850
2,4,98285
1,4,98670
2,4,100053
3,4,100450
3,5,100899
4,5,102064
4,6,102498
3,6,102957
2,6,103206
1,6,103423
1,7,104087
1,8,104478
2,8,105538
2,7,105945
