x,y,t
0,0,0
1,0,10389
1,1,10884
1,2,12186
0,2,12884
0,3,14149
0,4,14609
0,5,15128
0,6,15627
0,7,16106
0,8,16606
0,9,17139
1,9,20090
1,8,20533
2,8,21737
2,9,22288
3,9,22817
3,8,23387
3,7,25947
2,7,26680
1,7,27245
1,6,27741
2,6,28520
3,6,32238
3,5,33619
3,4,34835
2,4,35733
1,4,36348
1,3,36982
2,3,37697
3,3,38262
4,3,42856
5,3,43505
5,4,44154
5,5,45253
4,5,46134
4,6,46668
4,7,47433
5,7,49030
5,8,49631
5,9,50896
4,9,51893
5,9,52459
6,9,52825
6,8,54189
6,7,59315
6,6,68169
5,6,68585
6,6,69866
6,7,70328
7,7,70632
8,7,71179
8,6,74028
8,5,74445
7,5,75009
7,4,80485
6,4,81799
6,3,82277
6,2,84529
5,2,84972
4,2,85396
5,2,85993
6,2,89123
7,2,91336
8,2,91685
9,2,92051
9,3,93051
9,4,93333
9,5,93584
9,6,93882
9,7,94165
9,8,94490
8,8,95135
8,9,95602
8,8,96527
8,7,96777
8,6,96961
8,5,97123
8,4,97270
9,4,98793
9,3,99107
9,2,99324
9,1,99506
9,0,99690
8,0,100665
8,1,100955
7,1,101787
7,0,102119
6,0,102752
5,0,104150
5,1,105782
5,0,106047
4,0,106380
3,0,106713
2,0,107112
2,1,107642
3,1,107994
