x,y,t
0,0,0
1,0,10256
2,0,10757
3,0,10789
4,0,10818
5,0,10849
6,0,10878
7,0,10909
8,0,10939
9,0,10970
9,1,11887
9,2,12387
9,3,12416
9,4,12446
9,5,12476
9,6,12507
9,7,12537
9,8,12567
8,8,27784
8,9,29086
8,8,30277
8,7,30781
8,6,30809
8,5,30840
8,4,30869
7,4,32405
7,5,32943
8,5,35259
8,6,35759
8,7,36216
7,7,38897
6,7,40056
6,8,40989
5,8,41349
6,8,42510
6,9,42854
5,9,44067
4,9,44576
3,9,44603
2,9,44634
1,9,44664
0,9,44694
0,8,45628
0,7,46135
0,6,46161
0,5,46193
0,4,46222
0,3,46255
0,2,46282
1,2,47399
1,1,48465
2,1,49659
3,1,49850
2,1,51101
1,1,51399
1,2,52709
1,3,52857
1,4,53005
2,4,57950
3,4,58258
3,3,59621
2,3,60048
3,3,60771
4,3,61280
5,3,61309
6,3,61339
6,2,62714
5,2,63120
4,2,63383
5,2,64325
5,1,65301
5,2,66304
6,2,67074
7,2,67332
8,2,67511
8,1,68289
7,1,69380
7,2,69909
6,2,71002
6,3,71719
6,4,72006
5,4,72996
5,5,74258
5,6,74638
6,6,75087
5,6,76094
5,7,76557
4,7,79610
3,7,80003
2,7,80845
3,7,81934
3,8,82205
2,8,83115
1,8,83311
1,7,85648
1,6,85820
2,6,86654
3,6,86840
4,6,86992
4,5,87556
3,5,88240
