x,y,t
0,0,0
1,0,431187
1,1,431839
1,2,432239
0,2,432807
0,3,432996
1,3,433184
2,3,433344
3,3,433487
3,4,433711
2,4,433888
1,4,434046
0,4,434189
0,5,434534
0,6,434881
0,7,435094
0,8,439547
0,9,456144
1,9,456421
1,8,456654
1,7,456815
1,6,456965
2,6,457230
2,7,457435
2,8,457818
2,9,458250
3,9,461415
3,8,462138
3,7,463178
3,6,463426
3,5,463759
4,5,464202
4,6,466620
4,7,467942
5,7,468633
5,8,468840
5,9,469223
4,9,469434
5,9,469665
6,9,470002
6,8,470236
6,7,471234
6,6,471742
5,6,472020
5,5,472196
5,4,472588
5,3,473413
4,3,474064
4,2,474249
5,2,474480
6,2,476212
6,3,476393
6,4,476776
7,4,476951
7,5,477167
8,5,477740
8,6,477911
8,7,478108
7,7,478419
8,7,478574
8,8,478803
8,9,479029
8,8,479338
9,8,479513
9,7,479801
9,6,480000
9,5,480178
9,4,480342
8,4,481293
9,4,481451
9,3,481679
9,2,481983
9,1,482842
9,0,483042
8,0,483343
8,1,483552
8,2,483852
7,2,484061
7,1,484218
7,0,484411
6,0,484677
5,0,484851
5,1,485161
5,0,485356
4,0,485562
3,0,486324
3,1,486505
2,1,486676
2,0,486861
