x,y,t
0,0,0
1,0,1890
2,0,2168
3,0,2670
4,0,2702
5,0,2748
6,0,2778
7,0,2810
8,0,2840
9,0,2871
9,1,3760
9,2,4267
9,3,4300
9,4,4330
9,5,4369
9,6,4400
9,7,4431
9,8,4460
8,8,4984
8,9,5240
8,8,5528
8,7,5889
7,7,6256
6,7,6784
6,8,6976
6,9,7184
5,9,7593
4,9,8103
3,9,8135
2,9,8167
1,9,8199
0,9,8229
0,8,8632
0,7,9145
0,6,9174
0,5,9205
0,4,9232
0,3,9279
0,2,9309
1,2,9688
1,1,10114
2,1,10441
3,1,10632
3,0,10881
4,0,11081
5,0,11296
5,1,11552
5,0,12392
6,0,12599
7,0,12776
7,1,13041
8,1,13217
8,2,13449
7,2,13688
6,2,13872
5,2,14032
4,2,14199
4,3,14720
5,3,14905
6,3,15170
6,4,15432
7,4,15618
8,4,16034
8,5,16304
8,6,16864
8,5,17071
7,5,17264
7,4,17978
6,4,18160
5,4,18360
5,5,18729
5,6,19040
6,6,19240
5,6,19687
5,7,19888
5,8,20064
5,7,20344
4,7,20593
3,7,21064
3,8,21280
2,8,21512
1,8,21737
1,7,21986
1,6,22184
2,6,22656
2,7,22888
2,6,23088
3,6,23320
4,6,23504
4,5,23712
3,5,23928
3,4,24160
2,4,24392
1,4,24593
1,3,24953
2,3,25200
3,3,25392
