x,y,t
0,0,0
1,0,1264
2,0,1615
3,0,1893
3,1,2359
2,1,2827
1,1,3214
1,2,3695
0,2,4017
0,3,7422
0,4,8580
0,5,9180
0,6,11239
0,7,12588
0,8,13407
0,9,14040
1,9,14725
2,9,15365
3,9,15660
4,9,15849
5,9,16166
6,9,16870
6,8,17435
5,8,17707
5,7,18484
6,7,18845
6,6,19181
5,6,19559
5,5,20303
4,5,20861
4,6,21897
4,7,22313
3,7,22684
3,8,23001
2,8,23622
1,8,25608
1,7,26880
1,6,30191
2,6,30632
2,7,31163
3,7,31614
3,6,31946
3,5,32272
3,4,32859
2,4,33125
1,4,33465
1,3,34442
2,3,34825
3,3,35564
4,3,36397
4,2,36690
5,2,43514
5,1,43790
5,0,45822
4,0,46271
5,0,46746
6,0,47004
7,0,47857
8,0,48268
9,0,48650
9,1,49112
8,1,50623
7,1,51121
7,2,52075
6,2,54831
6,3,55247
5,3,55636
5,4,56005
6,4,57472
7,4,58170
7,5,59367
8,5,60382
8,6,60766
8,7,61192
7,7,61486
8,7,62080
8,8,62592
8,9,63151
8,8,63730
9,8,64011
9,7,64372
9,6,64677
9,5,64985
9,4,65429
8,4,65761
9,4,66089
9,3,66390
9,2,67503
8,2,68111
