x,y,t
0,0,0
1,0,2111
2,0,2311
3,0,2463
4,0,2630
5,0,2796
6,0,2959
7,0,3130
8,0,3324
9,0,3731
9,1,4484
8,1,5058
7,1,5240
7,2,7759
8,2,8686
9,2,8868
9,3,9707
9,4,9877
9,5,10055
9,6,10216
9,7,10382
9,8,10558
8,8,11687
8,9,12113
8,8,12590
8,7,12798
8,6,12968
8,5,13139
8,4,13351
7,4,14215
6,4,14856
5,4,16267
5,5,17508
5,6,17915
6,6,18995
6,7,19483
6,8,20116
6,9,21093
6,8,22372
6,7,22644
7,7,23568
8,7,23897
8,6,24975
8,5,25160
7,5,26017
7,4,26466
6,4,27232
5,4,27409
6,4,28338
6,3,29396
6,2,29623
5,2,30311
5,1,31134
5,2,32120
5,3,32503
5,4,32815
5,5,33044
5,6,33229
5,7,33408
5,8,33606
5,9,33869
4,9,34674
3,9,35075
2,9,35157
1,9,35238
0,9,35324
0,8,36387
0,7,36798
0,6,36881
0,5,36966
0,4,37048
0,3,37393
0,2,37796
1,2,39218
1,1,39844
2,1,40636
3,1,40935
2,1,41989
1,1,42247
1,2,42800
1,3,43030
1,4,43278
0,4,44225
0,5,44675
0,6,45934
1,6,46300
2,6,47409
3,6,47645
4,6,47893
4,7,48767
3,7,49159
2,7,49333
1,7,49554
0,7,50128
0,8,51535
1,8,52432
2,8,52645
3,8,52910
3,7,53520
3,6,54523
3,5,54764
3,4,55001
3,5,55744
4,5,56116
3,5,57008
3,4,57396
3,3,57784
2,3,58561
2,4,59439
2,3,60705
3,3,62087
4,3,62844
4,2,63619
