x,y,t
0,0,0
1,0,409599
2,0,409920
3,0,410173
4,0,410433
5,0,410658
6,0,410874
7,0,411126
8,0,411352
9,0,411662
9,1,412327
9,2,412511
9,3,412740
9,4,412969
9,5,413186
9,6,413411
9,7,413652
9,8,413882
8,8,417741
8,9,418186
8,8,419113
8,7,419494
7,7,420086
6,7,420347
6,8,420800
6,9,421343
5,9,421737
5,8,422497
5,7,422732
4,7,423141
3,7,423371
3,8,423871
3,9,424146
4,9,426175
3,9,426493
2,9,426810
1,9,427104
0,9,427508
0,8,427892
1,8,429343
2,8,429546
2,7,429870
1,7,430244
0,7,430506
0,6,430878
0,5,431090
0,4,431277
0,3,431487
0,2,431698
1,2,434396
1,3,434779
1,4,435080
2,4,437041
2,3,438553
1,3,444255
1,2,444828
1,1,445045
2,1,445338
3,1,445565
3,0,446046
4,0,446377
5,0,446601
5,1,447145
5,2,447591
4,2,447846
4,3,448199
3,3,448481
3,4,448751
3,5,449034
3,6,449292
2,6,449609
1,6,449875
2,6,450162
3,6,450337
4,6,450577
4,5,451052
5,5,451364
5,6,451694
6,6,451916
5,6,452433
5,5,452733
5,4,452969
5,3,453236
6,3,453579
6,2,453867
7,2,454140
8,2,454404
8,1,454656
7,1,454930
7,2,455233
6,2,455685
6,3,455980
6,4,456220
7,4,456528
8,4,456737
8,5,457042
7,5,457329
8,5,457582
8,6,457671
