x,y,t
0,0,0
1,0,51970
1,1,52343
0,1,52696
0,2,53119
1,2,53470
2,2,53811
2,3,54233
1,3,54752
0,3,55164
0,4,55828
1,4,56370
2,4,61519
2,5,62056
1,5,62536
0,5,63010
0,6,64010
1,6,64427
1,7,64873
0,7,65298
0,8,66038
0,9,66561
0,10,66990
0,11,67502
1,11,68020
2,11,73577
3,11,73930
3,10,74510
2,10,74948
2,9,75382
3,9,75784
4,9,76127
5,9,76463
6,9,76919
6,10,77661
6,11,78056
7,11,80056
8,11,80306
9,11,80534
10,11,80738
11,11,80948
11,10,81417
10,10,81802
9,10,82033
8,10,82292
7,10,82564
7,9,82959
8,9,83300
9,9,83530
10,9,83733
11,9,83938
11,8,84474
10,8,85578
9,8,85840
8,8,86098
7,8,86342
6,8,86594
5,8,86858
4,8,87116
3,8,87388
4,8,87898
4,7,88251
5,7,91786
6,7,92031
7,7,92243
8,7,92460
9,7,92678
10,7,92938
11,7,93209
11,6,94702
11,5,94964
10,5,95343
10,6,95713
9,6,96129
9,5,96524
8,5,97013
8,6,97412
7,6,97796
7,5,98208
6,5,98593
6,6,99007
5,6,99387
5,5,99784
4,5,100196
4,6,100603
3,6,101038
2,6,101485
3,6,101843
3,5,102235
3,4,103014
4,4,103486
4,3,106643
5,3,107186
5,4,107626
6,4,108043
6,3,108484
7,3,108906
7,4,109364
8,4,109894
8,3,110332
8,2,114938
9,2,115473
10,2,116952
10,3,117333
11,3,117643
11,2,118065
11,1,118368
11,0,118740
10,0,121513
10,1,124507
9,1,124863
9,0,125239
8,0,125612
8,1,126009
7,1,126410
7,0,126964
7,1,127422
7,2,127716
6,2,128028
7,2,128914
7,1,129227
7,0,129506
6,0,129894
5,0,130472
5,1,131222
4,1,131501
3,1,131718
