x,y,t
0,0,0
0,1,4272
0,2,4437
0,3,4621
0,4,4769
0,5,4936
0,6,5085
0,7,5236
1,7,8604
1,6,9322
1,5,9487
1,4,9637
1,3,9767
1,2,9920
1,1,10088
1,0,10572
1,1,11189
1,2,11390
2,2,12556
2,3,13109
2,4,14323
2,5,14907
2,6,16206
3,6,17186
3,5,17840
3,4,18005
4,4,18858
4,3,19241
4,4,20203
4,5,20391
4,6,20556
4,7,20722
4,8,21242
3,8,21875
3,9,23412
2,9,24122
2,10,25310
2,11,26355
1,11,26993
0,11,27476
0,10,29027
0,9,29560
0,8,30327
0,9,31191
0,10,32428
0,11,32794
1,11,34038
2,11,34224
3,11,34990
3,10,36993
3,9,37824
4,9,39124
5,9,40141
5,8,40993
5,7,41139
5,6,41307
5,5,42358
5,4,42541
5,3,42992
6,3,43876
6,2,44275
7,2,46926
7,1,47343
8,1,48323
7,1,49227
7,0,49543
6,0,50343
5,0,50527
5,1,51044
4,1,51743
3,1,51909
4,1,52810
5,1,53294
5,0,54861
6,0,56162
7,0,56778
7,1,57846
7,0,59212
8,0,60479
9,0,60645
10,0,61713
11,0,62763
11,1,63463
10,1,64592
9,1,65097
9,2,65997
8,2,66197
9,2,67445
10,2,67681
11,2,67828
11,3,68954
10,3,69664
10,2,71131
9,2,71781
8,2,72536
8,3,73678
7,3,75349
7,4,75916
6,4,76400
6,5,76819
6,6,77017
6,7,77164
6,8,77297
6,9,77448
6,10,77616
6,11,77783
7,11,78433
7,10,79033
7,9,79200
7,8,79348
7,7,79515
7,6,79682
7,5,79850
8,5,80628
8,4,80950
8,5,81487
8,6,81686
8,7,81831
8,8,81980
8,9,82149
8,10,82315
8,11,82481
9,11,82951
9,10,83334
9,9,83483
9,8,83631
9,7,83799
9,6,83948
9,5,84116
10,5,85164
10,6,85468
10,7,85633
10,8,85782
10,9,85930
10,10,86168
10,11,86835
11,11,87118
11,10,87469
11,9,87635
11,8,87783
11,7,87951
11,6,88118
11,5,88602
