x,y,t
0,0,0
1,0,5952
0,0,9617
0,1,14013
0,2,14258
0,3,14461
0,4,14672
0,5,14892
0,6,15102
0,7,15319
0,8,15531
0,9,15743
0,10,15970
0,11,16215
1,11,17518
2,11,18128
3,11,21266
3,10,22912
2,10,23848
2,9,24766
3,9,27712
4,9,30918
5,9,31168
6,9,31434
6,10,32537
6,11,33217
7,11,34023
8,11,34595
9,11,34876
10,11,35123
11,11,35480
11,10,39941
11,9,40223
11,8,40474
11,7,40704
11,6,40944
11,5,41223
10,5,44522
9,5,45066
8,5,46048
8,4,46982
8,3,47221
8,2,47485
9,2,49572
10,2,51850
10,3,52161
11,3,53061
11,2,54064
11,1,54750
11,0,57313
10,0,60017
10,1,61420
9,1,62815
9,0,64111
8,0,67156
8,1,68271
7,1,70426
7,0,71294
6,0,72915
5,0,73483
5,1,74319
4,1,76753
3,1,78273
4,1,82977
5,1,83844
5,0,85821
6,0,87106
7,0,87577
7,1,88747
7,2,90436
6,2,94062
6,3,98680
7,3,99194
7,4,101570
6,4,102496
6,5,103993
7,5,105104
7,6,108816
8,6,109797
9,6,110569
10,6,111222
10,7,112298
10,8,112889
10,9,113471
10,10,114299
9,10,115304
8,10,115934
7,10,118718
7,9,119225
8,9,120455
9,9,121047
9,8,122501
9,7,125570
8,7,126892
8,8,127952
7,8,129286
7,7,130523
6,7,135268
6,8,137510
5,8,138515
4,8,138992
3,8,140346
4,8,141927
4,7,144033
5,7,145107
5,6,146538
6,6,148190
5,6,149391
5,5,150940
5,4,152301
5,3,153060
4,3,153862
4,4,156222
4,5,156809
4,6,158681
3,6,161283
2,6,162232
1,6,163007
1,7,163835
1,6,165032
1,5,165777
2,5,166921
3,5,168016
3,4,168937
2,4,170626
1,4,171229
1,3,172246
2,3,173188
2,2,174618
1,2,176070
1,1,177196
