x,y,t
0,0,0
0,1,893
0,2,1409
0,3,1443
0,4,1477
0,5,1511
0,6,1545
0,7,1579
0,8,1614
0,9,1649
0,10,1685
0,11,1719
1,11,2083
2,11,2218
3,11,2380
3,10,2829
2,10,3113
2,9,3370
3,9,3699
3,8,3893
4,8,4383
4,9,5799
5,9,6017
5,8,6228
6,8,6573
7,8,10671
8,8,10859
9,8,12130
10,8,12462
10,9,12880
9,9,13180
8,9,13380
7,9,13560
6,9,13794
6,10,14433
6,11,14825
7,11,15084
7,10,15302
8,10,15576
8,11,15877
9,11,16129
9,10,16390
10,10,16837
10,11,17132
11,11,17395
11,10,17617
11,9,17810
11,8,17952
11,7,18360
11,6,19640
11,5,19811
10,5,20164
9,5,20686
9,6,21089
10,6,21406
10,7,21619
9,7,21892
8,7,22059
7,7,22262
6,7,22422
5,7,22568
4,7,22746
4,6,23721
5,6,23982
6,6,24214
7,6,24393
8,6,24599
8,5,24875
7,5,25169
6,5,25320
5,5,25517
4,5,25719
4,4,26170
4,3,27085
5,3,27341
5,4,27578
6,4,27851
6,3,28105
7,3,28396
7,4,28656
8,4,28931
8,3,29190
8,2,31084
7,2,31187
6,2,31987
7,2,32497
7,1,32680
8,1,32999
9,1,33266
9,2,33661
10,2,33949
10,1,34246
10,2,36199
10,3,36441
11,3,36684
11,2,36822
11,1,37001
11,0,37169
10,0,37585
9,0,37725
8,0,37888
7,0,38043
6,0,38233
5,0,38417
5,1,38631
4,1,38766
3,1,38925
4,1,39337
5,1,39522
5,0,39718
5,1,40335
5,0,40700
6,0,41051
7,0,41220
7,1,41517
7,2,41988
6,2,42115
6,3,42290
5,3,42466
5,4,42469
4,4,42631
3,4,42806
2,4,43043
2,3,43113
1,3,43441
1,2,43443
1,1,43710
0,1,44196
0,0,44498
0,1,44899
1,1,44902
1,2,45241
2,2,45244
2,3,45541
2,4,45828
2,5,46070
3,5,46074
4,5,46547
4,6,46566
4,7,46837
5,7,46841
5,8,47056
6,8,47060
6,9,47215
7,9,47217
7,10,47343
8,10,47346
8,11,47471
9,11,47473
8,11,47930
7,11,48109
7,10,48112
6,10,48225
6,9,48226
5,9,48374
5,8,48377
4,8,48504
4,7,48506
4,6,48637
3,6,48770
3,5,48772
2,5,48891
2,4,48893
1,4,49035
1,3,49038
0,3,49173
0,2,49175
0,3,49676
1,3,49680
1,4,49814
2,4,49816
2,5,49951
3,5,49954
3,6,50103
4,6,50105
4,7,50222
5,7,50225
5,8,50357
6,8,50359
6,9,50489
7,9,50491
7,10,50617
8,10,50638
7,10,51051
6,10,51318
6,9,51462
6,8,51648
6,7,52170
6,6,52326
5,6,52474
4,6,52654
3,6,52789
2,6,52980
1,6,53235
1,7,53404
1,6,53609
1,5,53771
1,4,54026
1,3,54158
1,2,54350
1,1,54545
1,0,54749
