x,y,t
0,0,0
0,1,1784
0,2,4684
0,3,4901
0,4,5085
0,5,5267
0,6,5451
0,7,5618
0,8,5801
0,9,5967
0,10,6151
0,11,6351
1,11,6867
2,11,7284
3,11,7784
3,10,8234
2,10,8718
2,9,9217
3,9,10489
3,8,11018
4,8,11916
4,7,13185
4,6,13602
3,6,14186
2,6,14653
1,6,18153
1,7,18602
1,6,18986
1,5,19353
1,4,19736
1,3,20103
1,2,20470
1,1,20853
1,0,21386
1,1,21837
1,2,22270
2,2,22637
2,3,23037
2,4,23701
2,5,25254
3,5,25671
3,4,26070
4,4,29538
4,3,30021
5,3,30838
6,3,31355
6,2,32021
7,2,32505
8,2,34605
9,2,34972
10,2,35272
11,2,35689
11,1,36156
11,0,38740
10,0,39223
10,1,39689
9,1,40106
9,0,40556
8,0,41023
8,1,41525
7,1,41990
7,0,42854
6,0,43940
5,0,44724
5,1,46024
4,1,46507
3,1,46924
4,1,48374
5,1,48807
5,0,50124
6,0,51125
7,0,55009
8,0,55309
9,0,55475
10,0,55675
11,0,55909
11,1,56411
11,2,56777
11,3,57177
10,3,57592
10,2,58074
9,2,58592
8,2,60310
8,3,61643
8,4,62076
8,5,63277
9,5,64427
10,5,66111
11,5,66596
11,6,67061
11,7,67394
11,8,67628
11,9,67828
11,10,68028
11,11,68245
10,11,69377
10,10,69811
10,9,70078
10,8,70311
10,7,70545
10,6,70794
9,6,71244
9,7,71645
9,8,71928
9,9,72163
9,10,73229
9,11,73678
8,11,74864
8,10,75362
8,9,75645
8,8,75882
8,7,76112
8,6,76395
8,5,77078
8,4,77346
8,3,77529
7,3,78029
7,4,78746
7,5,79196
7,6,79462
7,7,79680
7,8,79896
7,9,80097
7,10,80313
7,11,80531
6,11,81230
6,10,81629
6,9,82460
5,9,84197
4,9,84464
5,9,85014
5,8,86897
5,7,87248
5,6,87630
5,5,88064
4,5,88547
5,5,89097
5,4,89548
6,4,89964
6,5,90398
6,6,90598
6,7,90798
6,8,91048
