x,y,t
0,0,0
1,0,6193
1,1,8537
1,2,8719
1,3,8895
1,4,9101
1,5,9296
1,6,9743
1,7,10595
0,7,10972
0,8,11330
0,9,11504
0,10,11708
0,11,11903
1,11,12868
2,11,13255
3,11,14374
3,10,14643
2,10,15099
2,9,15589
3,9,15984
3,8,16370
4,8,16773
4,9,17558
5,9,17957
6,9,18129
7,9,18320
8,9,18516
9,9,18687
10,9,18862
11,9,19223
11,10,20561
11,11,21182
10,11,21646
9,11,21824
8,11,22018
7,11,22201
6,11,22391
6,10,23085
7,10,23708
8,10,23889
9,10,24070
10,10,24253
11,10,24488
11,9,24889
11,8,25461
10,8,26066
9,8,26276
8,8,26451
7,8,26647
6,8,26830
5,8,27036
4,8,27573
4,7,27924
5,7,28396
6,7,28579
7,7,28799
8,7,28983
9,7,29175
10,7,29368
11,7,29551
11,6,29913
10,6,30232
9,6,30413
8,6,30624
7,6,30809
6,6,31001
5,6,31196
4,6,31403
3,6,31631
2,6,31854
1,6,32068
0,6,32270
0,5,32677
1,5,33297
0,5,34707
0,4,35102
1,4,35938
2,4,36150
3,4,36373
4,4,36583
5,4,36801
6,4,38294
7,4,38789
7,3,39294
6,3,40301
5,3,40451
4,3,40658
5,3,41256
6,3,41457
7,3,41657
8,3,42078
8,2,42772
9,2,43081
10,2,43258
11,2,43445
11,3,43798
10,3,44166
10,2,44698
10,1,44968
11,1,45590
11,0,46706
10,0,46973
9,0,48864
8,0,51237
7,0,51439
6,0,51641
5,0,51873
5,1,55554
4,1,56029
3,1,57362
4,1,60487
5,1,60626
5,0,61808
6,0,62964
7,0,64970
7,1,66175
8,1,66496
9,1,66832
8,1,67918
7,1,68148
7,2,69114
6,2,69392
6,3,69885
7,3,70629
8,3,70925
8,4,71367
8,5,72910
9,5,73194
10,5,73367
11,5,73541
10,5,73966
9,5,74147
8,5,74327
7,5,74516
6,5,74697
5,5,74872
4,5,75068
3,5,75301
2,5,75779
2,4,76551
2,3,76993
2,2,77189
1,2,77807
1,3,78417
0,3,78665
0,2,79020
0,1,79189
