x,y,t
0,0,0
1,0,2065
1,1,5508
1,2,6957
1,3,7156
1,4,7339
1,5,7488
1,6,7671
1,7,7839
1,6,10884
2,6,12265
2,5,12797
2,4,13031
2,3,13213
2,2,13396
2,3,15726
2,4,16192
2,5,16991
2,6,17307
3,6,18955
4,6,19154
5,6,19321
6,6,19505
7,6,19704
8,6,19870
9,6,20069
10,6,20752
11,6,21001
11,5,21667
10,5,22300
9,5,22500
8,5,22683
7,5,22865
6,5,23331
5,5,23515
4,5,23781
3,5,24380
3,4,25930
4,4,26577
5,4,26743
6,4,26943
7,4,27142
8,4,27692
8,3,28475
8,2,31270
8,1,32635
8,0,32817
7,0,33567
6,0,33750
5,0,33933
6,0,34465
5,0,35377
5,1,35813
4,1,36246
3,1,36430
4,1,36978
5,1,37211
5,0,37943
6,0,38309
7,0,38775
7,1,39241
7,0,39790
8,0,40738
9,0,40923
10,0,41090
11,0,41272
11,1,42186
11,2,42670
11,3,43135
10,3,43897
10,2,44167
10,1,44550
9,1,45165
9,2,45615
8,2,46197
7,2,46447
7,3,47796
6,3,48244
6,2,49592
6,3,50371
5,3,50807
4,3,51041
4,4,51673
3,4,52106
2,4,52290
2,3,52821
2,2,53021
1,2,53520
1,1,54053
1,0,54784
0,0,55550
0,1,55982
0,2,56168
0,3,56350
0,4,56516
0,5,56682
0,6,57599
0,7,57748
0,8,57963
0,9,58146
0,10,58329
0,11,58529
1,11,59390
2,11,59594
2,10,60244
2,9,60693
3,9,62590
3,8,63771
3,9,64255
3,10,64454
3,11,64638
3,10,65502
3,9,65684
3,8,65884
4,8,66816
5,8,66999
6,8,67199
7,8,67383
8,8,67550
9,8,67733
10,8,67931
11,8,68131
11,7,68749
10,7,69279
9,7,69446
8,7,69612
7,7,69779
6,7,69962
5,7,70146
4,7,70345
4,8,71077
4,9,71261
5,9,71858
6,9,72042
7,9,72209
8,9,72376
9,9,72558
10,9,72725
11,9,72924
11,10,73507
11,11,73690
10,11,74667
9,11,74854
8,11,75037
7,11,75204
6,11,75387
6,10,76118
7,10,76485
8,10,77213
9,10,77450
10,10,77849
