x,y,t
0,0,0
0,1,3800
0,2,4033
0,3,4251
0,4,4484
0,5,4717
0,6,4935
0,7,5167
0,8,5419
0,9,5636
0,10,6119
0,11,6667
1,11,8150
2,11,8834
3,11,10118
3,10,10934
2,10,11551
2,9,12034
3,9,14001
4,9,14250
5,9,14551
6,9,15951
6,10,16735
6,11,16984
7,11,17834
8,11,18084
9,11,18335
10,11,18568
11,11,18802
11,10,20686
10,10,21636
9,10,21886
8,10,22135
7,10,22585
7,9,23318
8,9,24302
9,9,24534
10,9,24769
11,9,25202
11,8,26769
10,8,27619
9,8,27869
8,8,28102
7,8,28352
6,8,28603
5,8,28835
4,8,29120
3,8,29552
4,8,30469
4,7,31053
5,7,35320
6,7,35536
7,7,35753
8,7,35986
9,7,36187
10,7,36403
11,7,36687
11,6,37587
11,5,37853
10,5,38703
10,6,39255
9,6,39970
9,5,40741
8,5,42704
8,6,43787
7,6,44404
6,6,44621
5,6,44854
4,6,45070
3,6,45288
2,6,45538
1,6,45988
1,7,46871
1,6,48258
1,5,48721
2,5,56522
3,5,56773
4,5,57056
5,5,57339
6,5,58156
7,5,58689
7,4,59839
8,4,62323
8,3,63173
8,2,64007
9,2,64973
10,2,65607
10,3,66290
11,3,67709
11,2,68673
11,1,75741
11,0,76441
10,0,78025
10,1,79042
9,1,80108
9,0,81175
8,0,82475
8,1,83425
8,2,93625
8,3,95477
7,3,96026
7,4,102694
6,4,104377
5,4,104844
4,4,105260
3,4,105712
2,4,108128
1,4,109409
1,3,110311
1,2,110594
1,1,110995
1,0,111411
1,1,112029
1,2,112411
2,2,113162
2,3,113628
2,4,114376
3,4,114809
4,4,115112
4,3,115879
5,3,116245
6,3,116629
6,2,117296
7,2,118579
7,1,119095
7,0,119412
6,0,120112
5,0,120395
5,1,121063
4,1,121496
3,1,121746
