x,y,t
0,0,0
1,0,6851
1,1,8048
0,1,8561
0,2,9415
1,2,11382
1,3,12104
0,3,12587
0,4,13443
1,4,13855
1,5,15236
0,5,15640
0,6,16590
1,6,17090
1,7,18074
0,7,19105
0,8,20020
0,9,20235
0,10,20437
0,11,20753
1,11,22418
2,11,22800
3,11,23160
3,10,23990
2,10,24874
2,9,25662
3,9,26335
3,8,27385
4,8,32360
5,8,32552
6,8,32746
7,8,32934
8,8,33109
9,8,33307
10,8,33512
11,8,33744
11,9,34617
11,10,34816
11,11,35005
10,11,36537
10,10,38918
10,9,39092
9,9,39739
8,9,39924
8,10,42966
8,11,43722
9,11,44214
9,10,45247
9,11,47728
8,11,48294
7,11,48497
7,10,49440
7,9,49647
6,9,50493
5,9,52398
4,9,52593
5,9,53532
6,9,53713
6,10,54419
6,11,54592
6,10,56285
6,9,56484
6,8,56691
6,7,56916
5,7,58131
4,7,58380
4,6,59277
3,6,60171
2,6,60328
2,5,60950
3,5,63115
4,5,63343
5,5,63538
6,5,63724
7,5,64818
8,5,64993
9,5,65211
10,5,65398
11,5,65781
11,6,68970
11,7,69149
10,7,70578
10,6,72384
9,6,73008
9,7,73776
8,7,74355
8,6,74994
7,6,77304
6,6,78097
5,6,78448
6,6,79442
7,6,79626
7,7,80485
7,6,81505
7,5,82314
7,4,82609
8,4,84008
8,3,85086
8,2,86175
9,2,87355
10,2,87676
10,3,88711
11,3,89206
11,2,90553
11,1,90813
11,0,92711
10,0,94997
9,0,95187
8,0,95414
7,0,95592
6,0,95771
5,0,95976
5,1,101153
4,1,102780
3,1,102973
4,1,104643
5,1,104837
5,0,105665
6,0,106887
7,0,107769
8,0,111177
9,0,111352
10,0,111814
10,1,112475
9,1,113555
8,1,113754
7,1,113933
7,2,114893
7,3,115114
7,4,116609
6,4,117192
5,4,117381
4,4,117605
3,4,117786
2,4,118000
2,3,118805
2,2,119000
2,3,120273
2,4,120439
3,4,121388
4,4,121811
4,3,122584
5,3,123286
6,3,123440
6,2,125292
