x,y,t
0,0,0
1,0,831
1,1,1137
1,2,2111
2,2,2319
2,3,2582
2,4,3695
3,4,3852
4,4,4048
4,3,4325
5,3,4553
6,3,4791
6,2,4991
7,2,5233
7,1,5469
7,0,5676
6,0,5896
5,0,6102
5,1,6318
4,1,6551
3,1,6733
4,1,6919
5,1,7108
5,0,7298
6,0,7511
7,0,7713
8,0,7897
9,0,8072
10,0,8252
11,0,8431
11,1,8622
11,2,8815
11,3,8992
10,3,9211
10,2,9423
10,1,9639
9,1,9901
8,1,10149
8,2,10352
9,2,10552
8,2,10797
8,3,10971
7,3,11205
7,4,11403
8,4,11742
8,5,11936
9,5,12113
10,5,12303
11,5,12495
11,6,12664
11,7,12822
11,8,12980
11,9,13141
11,10,13309
11,11,13470
10,11,13803
9,11,13985
8,11,14156
7,11,14312
6,11,14490
6,10,14776
7,10,14959
8,10,15148
9,10,15331
10,10,15491
10,9,15690
10,8,15854
10,7,16036
10,6,16204
10,5,16360
9,5,16581
9,6,16878
9,7,17080
9,8,17243
9,9,17401
8,9,17646
8,8,17848
8,7,18028
8,6,18196
7,6,18594
7,5,18772
6,5,19025
6,4,19244
5,4,19441
5,5,19635
5,6,19838
6,6,20060
6,7,20254
7,7,20446
7,8,20675
7,9,20975
6,9,21219
6,8,21417
5,8,21636
5,7,22046
4,7,22271
4,8,22446
4,9,22614
5,9,22784
4,9,22985
4,8,23169
4,7,23361
4,8,23923
3,8,24296
3,9,24477
3,10,24702
3,11,24880
2,11,25068
2,10,25255
2,9,25444
2,10,25672
2,11,25846
1,11,26016
0,11,26206
0,10,26505
0,9,26658
0,8,26821
0,7,26988
0,6,27163
1,6,27363
1,7,27844
1,6,28017
2,6,28217
3,6,28402
4,6,28676
4,5,28907
3,5,29105
2,5,29345
1,5,29557
0,5,29756
0,4,29953
1,4,30169
1,3,30381
0,3,30639
0,2,30842
0,1,31029
