x,y,t
0,0,0
1,0,4498
2,0,4994
3,0,5074
4,0,5157
5,0,5242
6,0,5325
7,0,5409
8,0,5493
9,0,5576
10,0,5659
11,0,5748
12,0,5828
12,1,6319
12,2,6885
12,3,7227
13,3,7465
13,4,7764
13,5,8370
13,6,8756
13,7,8964
12,7,9745
12,6,9905
12,5,10111
12,4,10315
11,4,11292
11,5,11826
11,6,12032
11,7,12208
11,8,12412
12,8,12946
11,8,13315
11,9,13775
12,9,14027
12,10,14551
13,10,14827
13,11,15125
13,12,15628
13,13,15708
12,13,17001
12,12,17401
12,11,17763
11,11,18008
11,12,18368
11,13,19255
10,13,19767
10,12,20072
10,11,20440
9,11,20756
9,12,21374
8,12,21655
8,13,22372
7,13,23676
6,13,23869
5,13,24666
4,13,24895
3,13,25341
3,12,27735
2,12,29009
2,11,29351
3,11,29618
4,11,29823
5,11,30143
5,12,30454
5,11,30963
6,11,31260
7,11,31498
7,12,31811
7,11,32255
8,11,32575
8,10,34032
9,10,34353
9,9,34972
10,9,35269
10,8,35627
10,7,35897
10,6,36095
10,5,36421
10,4,36631
10,3,37066
11,3,37964
11,2,38338
11,1,38844
10,1,39798
10,2,40014
9,2,40366
9,1,40594
9,2,40941
9,3,41211
9,4,41377
9,5,41552
9,6,41713
9,7,41885
9,8,42413
8,8,42709
8,9,43278
7,9,44373
7,10,44611
6,10,44971
6,9,45325
6,8,45913
6,7,46675
7,7,48164
7,8,48381
8,8,48700
8,7,48978
7,7,49325
7,6,49589
7,5,49820
8,5,50181
8,4,50436
8,3,50657
8,2,50832
7,2,51235
7,3,51452
7,4,51848
6,4,52150
6,3,52352
6,2,52746
6,1,53048
5,1,53327
4,1,53518
3,1,53689
2,1,53866
1,1,54048
1,2,54806
0,2,54992
0,3,55384
1,3,55809
2,3,56448
2,2,56838
3,2,57110
4,2,58021
4,3,58254
3,3,58710
4,3,58924
5,3,59269
5,4,59486
5,5,60196
6,5,60400
5,5,60858
5,6,61097
5,7,61285
5,8,61442
5,9,61672
5,10,61858
4,10,62362
4,9,62960
4,8,63410
4,7,63548
4,6,63690
4,5,63878
3,5,64256
3,4,64492
3,5,64984
3,6,65151
3,7,65307
3,8,65429
3,9,65564
3,10,65976
2,10,66330
2,9,66607
2,8,67016
1,8,67338
1,7,67796
1,6,68657
2,6,68888
2,5,69284
2,4,69454
1,4,70061
0,4,70534
0,5,70794
1,5,71227
1,6,71451
0,6,71717
0,7,72132
0,8,72330
0,9,72531
1,9,73093
1,10,73370
0,10,74010
0,11,74524
1,11,74782
0,11,75154
0,12,75411
0,13,75579
1,13,75978
