x,y,t
0,0,0
1,0,1700
1,1,2835
2,1,6452
2,0,7085
3,0,7401
3,1,8118
4,1,8452
4,0,9169
5,0,9719
5,1,10419
6,1,10886
6,0,11553
7,0,12037
8,0,12370
9,0,13136
9,1,13703
10,1,14020
10,0,14621
11,0,14954
12,0,16855
12,1,17568
11,1,18522
11,2,20189
11,3,22257
11,4,22573
11,5,22707
11,6,22873
11,7,23041
11,8,23190
11,9,23374
12,9,24257
12,8,25024
12,7,25308
12,6,25558
12,5,25725
12,4,25892
12,3,26075
12,2,26275
12,3,28109
13,3,28326
13,4,28992
13,5,29159
13,6,29343
13,7,29526
12,7,30927
12,8,31144
12,9,31411
12,10,31627
13,10,32213
13,11,32528
13,12,32760
13,13,33045
12,13,33875
12,12,34244
12,11,34611
11,11,35211
11,12,36409
11,13,36679
10,13,37342
10,12,37613
10,11,37846
9,11,38911
9,12,39196
8,12,39596
8,13,39913
7,13,40197
6,13,40463
5,13,40647
4,13,40830
3,13,41031
3,12,41530
2,12,41864
2,11,42480
1,11,42731
0,11,43050
0,12,43481
0,13,43732
1,13,44214
0,13,44465
0,12,45032
0,11,45315
0,10,45532
0,9,45699
0,8,45882
0,7,46032
0,6,46199
0,5,46366
0,4,46533
0,3,46699
0,2,46882
1,2,47615
1,3,47966
1,4,48150
1,5,48333
1,6,48483
1,7,48650
1,8,48782
1,9,48967
1,10,49133
2,10,49999
2,9,50284
2,8,50483
3,8,51120
3,9,51517
3,10,51701
3,11,51917
4,11,52898
5,11,53268
5,12,53618
5,11,54051
6,11,54318
7,11,54718
7,12,55152
8,12,55668
8,11,56169
8,10,56602
9,10,56986
9,9,57389
10,9,57686
10,8,57986
10,7,58169
10,6,58337
10,5,58504
10,4,58635
10,3,58804
10,2,58988
9,2,59554
9,3,59803
9,4,59970
9,5,60136
9,6,60286
9,7,60470
9,8,60655
8,8,61054
8,7,62288
7,7,62571
7,6,62988
7,5,63322
8,5,64325
8,4,64639
8,3,64889
8,2,65123
7,2,65439
7,3,65954
7,4,67644
6,4,67957
6,3,68640
6,2,68990
6,3,69937
5,3,70190
4,3,70590
4,2,71224
3,2,71491
2,2,71757
2,3,72390
3,3,72758
3,4,73325
2,4,73642
2,5,74025
3,5,74425
4,5,74726
5,5,75342
5,4,75909
6,4,76192
6,5,76626
5,5,77541
5,6,77827
4,6,78144
3,6,78444
2,6,78961
3,6,79294
3,7,79578
4,7,79961
5,7,80177
6,7,80394
6,8,80978
7,8,81328
7,9,81644
8,9,81961
8,10,82328
7,10,82645
6,10,82895
5,10,83095
4,10,83396
4,9,83745
4,8,83979
5,8,84347
5,9,84712
6,9,85045
