x,y,t
0,0,0
1,0,3190
2,0,3690
3,0,3770
4,0,3853
5,0,3940
6,0,4023
7,0,4102
8,0,4189
9,0,4269
10,0,4356
11,0,4436
12,0,4523
12,1,5206
11,1,5650
10,1,5856
9,1,6027
9,2,6741
10,2,6925
11,2,7096
12,2,7273
12,3,8032
13,3,8205
13,4,8691
13,5,8863
13,6,9037
13,7,9206
12,7,11076
12,8,11273
12,9,11456
12,10,11607
12,11,11957
12,10,12907
13,10,13072
13,11,13215
13,12,13420
13,13,13590
12,13,13898
12,12,14323
11,12,14590
11,13,14891
10,13,15129
10,12,15540
9,12,16785
8,12,17440
7,12,17807
7,13,18427
8,13,18591
7,13,18867
6,13,19076
5,13,19346
5,12,19745
5,13,20174
4,13,20439
3,13,20616
3,12,21040
2,12,21289
2,11,21740
1,11,21945
0,11,22159
0,12,22500
0,13,22729
1,13,22955
0,13,23154
0,12,23427
0,11,23624
0,10,23823
1,10,24263
2,10,24438
3,10,24732
3,11,25157
4,11,25372
5,11,25590
6,11,25756
7,11,25923
8,11,26089
9,11,26258
10,11,26438
11,11,26925
12,11,27376
12,10,27613
12,9,27780
11,9,28171
10,9,28356
9,9,28603
9,10,28996
8,10,29216
7,10,29404
6,10,29572
5,10,29739
4,10,30148
4,9,30857
3,9,31038
2,9,31206
1,9,31366
0,9,31529
0,8,32044
1,8,32273
2,8,32432
3,8,32594
4,8,32760
5,8,32916
5,9,33319
6,9,33556
6,8,34541
7,8,34813
7,9,35117
8,9,35372
8,8,35586
9,8,36032
10,8,36205
11,8,36491
11,7,36883
11,6,37106
12,6,37465
12,5,37714
12,4,38311
11,4,38607
11,3,38825
10,3,39186
10,4,40293
10,5,40494
11,5,40739
10,5,41098
10,6,41340
10,7,41549
9,7,41869
9,6,42124
9,5,42323
9,4,42513
9,3,42674
8,3,43382
8,2,43707
7,2,43990
6,2,44310
6,1,44673
5,1,44924
4,1,45087
3,1,45256
2,1,45403
1,1,45566
1,2,46002
0,2,46211
0,3,46772
0,4,46958
0,5,47116
0,6,47287
0,7,47475
1,7,47881
1,6,48059
2,6,48475
3,6,48637
3,7,49096
4,7,49360
5,7,49540
6,7,49931
7,7,50088
8,7,50243
7,7,50745
7,6,51047
7,5,51245
8,5,51543
8,4,51695
7,4,52109
7,3,52309
6,3,52663
6,4,52926
6,5,53124
5,5,53389
5,6,53633
4,6,53853
4,5,54107
3,5,54359
2,5,54516
1,5,54690
1,4,55134
1,3,55931
2,3,56738
2,2,56890
2,1,57124
2,2,57652
3,2,57912
4,2,58108
4,3,58494
3,3,59200
3,4,59610
2,4,59827
2,3,60282
3,3,60421
4,3,60578
5,3,60726
6,3,60889
6,4,61073
5,4,61392
