x,y,t
0,0,0
1,0,4979
1,1,6088
1,2,9112
0,2,9944
0,3,10857
0,4,11477
0,5,11675
0,6,11873
0,7,12038
0,8,12202
0,9,12408
0,10,12634
0,11,13111
0,12,13407
0,13,13842
1,13,14525
0,13,15875
0,12,16974
0,11,17457
1,11,18341
2,11,19203
2,12,20440
3,12,21241
3,13,22541
4,13,23940
5,13,24216
5,12,26106
5,13,26627
6,13,27170
7,13,27439
8,13,27600
8,12,28681
9,12,29188
10,12,30145
10,13,31089
11,13,31503
12,13,31770
13,13,31987
13,12,32969
13,11,33131
13,10,33403
12,10,37065
12,11,37533
12,12,38742
11,12,39249
11,11,40141
10,11,41733
9,11,41965
8,11,42182
7,11,42648
7,12,43264
7,11,43898
6,11,45232
5,11,45481
4,11,45965
3,11,46431
3,10,47597
2,10,48497
1,10,48729
1,9,49496
1,8,49998
1,7,50429
1,6,50696
1,5,50897
1,4,51130
1,3,51663
2,3,52927
2,2,53794
2,1,54061
2,0,54429
3,0,55227
4,0,55428
5,0,55661
6,0,56327
6,1,57565
5,1,59327
4,1,59561
3,1,59994
3,2,60828
4,2,61790
4,3,62429
3,3,63361
3,4,64592
2,4,64960
2,5,65944
2,6,66194
3,6,67139
3,7,67864
3,8,68530
2,8,69211
2,9,70413
3,9,71596
4,9,72261
5,9,72356
5,10,74327
4,10,74728
5,10,75897
6,10,76227
7,10,76428
8,10,76608
9,10,76877
9,9,77886
10,9,78895
11,9,79111
12,9,79494
12,8,80462
12,7,80996
13,7,81796
13,6,82428
13,5,82611
13,4,82793
13,3,83345
12,3,84208
12,2,84563
12,1,84846
12,0,85062
11,0,85930
10,0,86129
9,0,86308
8,0,86475
7,0,86677
8,0,87726
9,0,87929
9,1,89297
10,1,91964
11,1,92364
11,2,93699
11,3,93966
11,4,98535
12,4,99302
12,5,99703
12,6,99918
11,6,101669
11,7,102761
11,8,103238
10,8,104186
9,8,104379
8,8,106120
8,9,106486
7,9,107586
6,9,108035
6,8,109451
7,8,110938
6,8,111304
5,8,111521
4,8,112021
4,7,112771
4,6,113205
4,5,113639
3,5,114188
3,4,115131
3,5,116131
4,5,117008
5,5,117271
5,4,118339
5,3,118573
6,3,119531
6,2,120339
7,2,121464
8,2,121723
9,2,121922
10,2,122120
10,3,123159
10,4,123443
10,5,123907
11,5,124457
11,6,125075
10,6,126123
10,7,126894
9,7,127944
8,7,128175
7,7,128376
6,7,129377
5,7,129644
5,6,130912
5,7,132022
6,7,132414
7,7,132881
7,6,134175
7,5,135108
6,5,135848
6,4,137050
7,4,138008
7,3,138418
8,3,139486
9,3,139769
9,4,140854
9,5,141187
9,6,141823
9,5,142386
8,5,143188
8,4,143914
