x,y,t
0,0,0
1,0,7596
2,0,7829
3,0,8027
4,0,8234
5,0,8426
6,0,8611
7,0,8818
8,0,9035
9,0,9268
10,0,9459
11,0,9650
12,0,9859
12,1,10627
12,2,10907
12,3,11823
13,3,12118
13,4,13209
13,5,13473
13,6,13666
13,7,13882
12,7,15113
12,8,15542
12,9,15867
12,10,16941
13,10,17375
13,11,18458
13,12,18828
13,13,19091
12,13,20668
12,12,22727
12,11,26274
11,11,26753
11,12,28470
11,13,29463
10,13,29888
10,12,30411
10,11,30901
9,11,31620
9,12,43758
8,12,44096
8,11,44892
7,11,46628
7,12,51219
8,12,53766
8,13,54194
7,13,55426
6,13,55900
5,13,56375
5,12,62790
5,11,64325
6,11,65289
6,10,66586
7,10,67523
8,10,67853
9,10,68170
9,9,69359
10,9,69963
11,9,70580
11,8,71299
11,7,71862
11,6,72509
12,6,73128
12,5,73869
12,4,74618
12,5,76289
11,5,77029
11,4,77552
11,3,77973
11,2,78373
11,1,78834
10,1,80025
9,1,80442
9,2,81634
10,2,82161
10,3,82867
9,3,83474
9,4,84546
10,4,85091
10,5,86051
9,5,86609
9,6,87586
10,6,88131
10,7,89159
9,7,89798
9,8,90936
10,8,91682
9,8,93218
8,8,93802
8,9,97593
7,9,98319
6,9,100981
5,9,101798
5,10,102762
4,10,104258
4,11,105184
3,11,105721
3,12,106707
3,13,107545
4,13,108091
3,13,108895
3,12,109457
2,12,110015
2,11,110620
1,11,111118
0,11,111611
0,12,112276
0,13,112753
1,13,113219
0,13,114020
0,12,114518
0,11,114976
0,10,115469
0,9,115834
0,8,116050
0,7,116261
0,6,116491
0,5,116710
0,4,116943
0,3,117174
0,2,117386
1,2,118768
1,1,119466
2,1,119980
3,1,120369
4,1,120765
5,1,121115
6,1,121591
6,2,122182
7,2,122624
8,2,123130
8,3,124904
8,4,125298
8,5,125696
9,5,127448
9,6,127862
9,7,128458
8,7,128887
8,8,131907
7,8,132262
7,7,133161
7,6,133511
7,5,133834
7,4,134227
7,3,134627
6,3,135585
6,2,136187
6,3,137648
5,3,138091
4,3,138942
4,2,139643
3,2,140323
2,2,144345
1,2,144707
1,3,145514
2,3,146747
3,3,147196
3,4,148277
2,4,149005
1,4,149570
1,5,150634
1,6,151316
1,7,151620
1,8,151945
1,9,152310
1,10,153076
2,10,153897
3,10,157971
2,10,158637
2,9,159364
3,9,160867
4,9,161408
4,8,168495
5,8,169323
6,8,169904
6,7,170405
5,7,170887
5,6,171741
5,5,173175
6,5,174052
6,4,174519
5,4,175182
5,5,175984
4,5,176818
3,5,177792
2,5,178854
2,6,179724
3,6,180673
4,6,181337
4,7,182098
3,7,182732
3,8,183680
2,8,184335
