x,y,t
0,0,0
1,0,1286
2,0,1505
3,0,1714
4,0,3122
5,0,3337
6,0,3559
7,0,3748
8,0,3955
9,0,4163
10,0,4361
11,0,4546
12,0,4783
12,1,5619
12,2,5857
12,3,6080
13,3,7301
13,4,7841
13,5,8062
13,6,8248
13,7,8449
12,7,9732
12,8,10153
12,9,10383
12,10,10601
13,10,11835
13,11,12270
13,12,12480
13,13,12661
12,13,13627
12,12,14511
12,11,14757
12,10,14981
12,9,16939
11,9,17782
10,9,18422
9,9,19407
9,10,20293
9,11,20982
10,11,21756
11,11,21998
11,12,22974
11,13,23182
10,13,24173
10,12,25101
9,12,25861
8,12,26691
8,13,27267
7,13,28198
6,13,28576
5,13,28812
4,13,28980
3,13,29212
3,12,30978
2,12,31700
2,11,33109
1,11,33918
0,11,34194
0,12,35103
0,13,35316
1,13,36231
0,13,36955
0,12,37482
0,11,37733
0,10,37957
0,9,38453
0,8,38751
0,7,38995
0,6,39186
0,5,39401
0,4,39601
0,3,39804
0,2,40018
1,2,41015
1,1,41521
2,1,42022
3,1,42238
4,1,42449
5,1,44192
6,1,44997
6,2,45567
7,2,46053
8,2,47358
9,2,47709
9,1,48599
10,1,49799
11,1,50201
11,2,51866
11,3,52075
11,4,52335
12,4,53641
12,5,54123
12,6,54346
12,7,54565
11,7,55732
11,8,56644
10,8,57651
9,8,58467
9,7,59432
9,6,59700
10,6,60811
10,7,61307
10,6,61793
11,6,62364
11,5,62950
10,5,63602
10,4,64393
10,3,64627
10,2,64827
10,3,65587
9,3,66096
8,3,66330
8,4,67288
9,4,68332
9,5,68905
8,5,70213
7,5,71200
7,4,72180
7,3,72409
6,3,73334
5,3,73598
4,3,74704
4,2,75391
3,2,76106
2,2,76446
1,2,78250
1,3,78948
2,3,79518
3,3,79782
3,4,80957
2,4,81692
1,4,81921
1,5,82579
2,5,83435
3,5,83673
4,5,84151
5,5,84782
5,4,85538
6,4,86046
6,5,87865
7,5,88823
7,6,89981
7,7,90806
8,7,91302
8,8,91931
8,9,92155
8,10,92375
8,11,92594
7,11,93895
7,12,94327
7,11,95198
7,10,95407
8,10,95631
9,10,96033
8,10,96840
7,10,97052
6,10,97322
6,9,98145
7,9,98794
7,8,99583
6,8,100432
6,7,101383
5,7,102553
5,6,103310
4,6,105235
3,6,105485
2,6,105696
1,6,106290
1,7,107213
1,8,108727
1,9,109828
1,10,110024
2,10,111072
2,9,111820
2,8,112025
3,8,112797
3,7,113337
4,7,113855
4,8,114766
5,8,115262
5,9,115820
5,10,116279
5,11,116549
6,11,117856
5,11,119047
5,12,119604
5,11,120256
4,11,121135
3,11,121597
3,10,122296
4,10,122886
4,9,123611
3,9,124289
