x,y,t
0,0,0
1,0,1412
2,0,1909
3,0,1995
4,0,2074
5,0,2157
6,0,2241
7,0,2324
8,0,2408
9,0,2496
10,0,2579
11,0,2662
12,0,2745
12,1,3161
12,2,3361
12,3,3928
13,3,4129
13,4,4674
13,5,4861
13,6,5039
13,7,5211
12,7,5691
12,8,5949
12,9,6288
12,10,6499
13,10,6787
13,11,7038
13,12,7278
13,13,7454
12,13,7814
11,13,8023
10,13,8249
10,12,8748
9,12,9021
8,12,10292
8,13,10535
7,13,10774
6,13,11072
5,13,11280
4,13,11702
3,13,11988
3,12,12350
2,12,12701
2,11,13043
1,11,13467
0,11,13849
0,12,14163
0,13,14731
1,13,15014
0,13,15362
0,12,15683
0,11,15912
0,10,16420
0,9,16498
0,8,16581
0,7,16665
0,6,16748
0,5,16830
0,4,16913
0,3,16997
0,2,17080
1,2,17666
1,1,17895
2,1,18304
3,1,18474
4,1,18646
5,1,18820
6,1,19174
6,2,19527
7,2,19753
8,2,20046
9,2,20405
9,1,20715
10,1,21048
11,1,21424
11,2,21721
10,2,22012
10,3,22393
11,3,22683
11,4,23071
12,4,23362
12,5,23649
11,5,23887
11,6,25432
12,6,26273
11,6,26607
11,7,26971
11,8,27439
11,9,27790
12,9,28149
12,10,28550
12,11,28901
12,12,29469
11,12,29666
11,11,29911
10,11,30337
9,11,30997
8,11,31194
7,11,31704
6,11,31826
5,11,32009
5,12,34219
5,11,35146
6,11,35510
7,11,35829
7,12,36656
7,11,36928
6,11,37154
5,11,37383
4,11,37574
3,11,37775
3,10,38077
2,10,38536
1,10,39010
1,9,39185
1,8,39399
1,7,39586
1,6,39757
1,5,39933
1,4,40107
1,3,40333
2,3,40762
2,2,41007
3,2,41346
4,2,41600
4,3,41893
5,3,42265
6,3,42762
7,3,42843
8,3,42925
9,3,43199
9,4,43565
10,4,43716
10,5,43953
10,6,44174
10,7,44343
10,8,44532
10,9,44710
9,9,45095
9,10,45386
8,10,45699
7,10,45918
6,10,46074
5,10,46261
4,10,46453
4,9,46887
3,9,47237
2,9,47658
2,8,47969
3,8,48271
3,7,48586
3,6,49144
2,6,49377
2,5,49792
2,4,50255
2,3,51457
3,3,51641
3,4,51924
3,5,52287
4,5,52503
5,5,53041
5,4,53280
6,4,53673
7,4,53929
8,4,54099
8,5,54695
9,5,54970
9,6,55433
9,7,55642
9,8,56095
8,8,58669
8,9,59090
7,9,59299
6,9,59724
5,9,59932
5,8,60229
4,8,60570
4,7,60817
4,6,62088
5,6,62407
5,7,62691
6,7,63728
6,8,63882
7,8,64361
7,7,64551
8,7,65314
7,7,65550
7,6,65838
7,5,66262
6,5,66483
