x,y,t
0,0,0
1,0,6857
2,0,7762
3,0,8238
4,0,8704
5,0,8937
6,0,9171
7,0,9368
8,0,9583
9,0,9766
10,0,9932
11,0,10204
12,0,10438
12,1,13345
12,2,13954
12,3,16114
13,3,17219
13,4,19457
13,5,19751
13,6,19987
13,7,20220
12,7,22002
12,8,23535
12,9,24104
12,10,25385
13,10,26434
13,11,27802
13,12,28305
13,13,28669
12,13,30115
12,12,31400
12,11,31932
11,11,33632
11,12,36173
11,13,37255
10,13,38339
10,12,39797
10,11,41054
9,11,42517
9,12,46915
8,12,50394
8,13,52026
7,13,52908
7,12,54136
7,13,60796
6,13,61472
5,13,62536
4,13,63073
3,13,65272
3,12,67327
2,12,69122
2,11,75168
2,10,75294
2,11,76668
1,11,77793
0,11,79150
0,12,79674
0,13,80120
1,13,81001
0,13,82284
0,12,83395
0,11,84666
1,11,86266
2,11,86681
3,11,87583
4,11,87999
5,11,88381
5,12,89374
5,11,90408
6,11,91698
7,11,92014
8,11,92264
9,11,92630
9,10,93844
8,10,95847
7,10,96175
6,10,96464
5,10,96711
4,10,96946
3,10,98678
2,10,99011
1,10,100154
0,10,100461
0,9,101536
0,8,101895
0,9,103018
1,9,103611
2,9,104167
3,9,104372
4,9,104573
5,9,104772
6,9,105127
7,9,105495
8,9,105776
9,9,106061
10,9,106409
11,9,106909
11,8,108298
10,8,111426
9,8,111775
8,8,112058
7,8,112891
6,8,113204
5,8,113491
4,8,113791
3,8,115591
3,9,116173
3,8,117318
2,8,118123
1,8,118729
0,8,120423
0,7,122905
1,7,124014
1,6,126475
0,6,127470
1,6,128419
2,6,128753
3,6,129037
3,7,129970
4,7,132053
5,7,132585
6,7,133084
7,7,133401
8,7,133985
9,7,134351
10,7,135877
11,7,136451
12,7,137901
12,6,139017
12,5,139433
12,4,140015
12,5,144307
12,6,144423
11,6,147272
11,5,152230
11,4,152905
11,3,155337
11,2,155761
11,1,156211
10,1,157261
10,2,158232
10,3,158644
10,4,159034
10,5,160177
10,6,160760
9,6,162726
9,5,163786
9,4,164434
9,3,165875
9,2,166325
9,1,166896
9,2,191369
8,2,195668
8,3,196876
8,4,198087
8,5,199399
7,5,201916
7,6,202882
7,5,204040
7,4,204483
7,3,205888
7,2,206331
6,2,209953
6,1,211454
5,1,212413
4,1,212744
3,1,212995
2,1,213262
1,1,213795
1,2,217911
0,2,221059
0,3,222251
0,4,222660
0,5,222942
1,5,224309
2,5,224657
3,5,224925
4,5,225425
4,6,227491
5,6,228375
5,5,229929
6,5,231121
6,4,232678
6,3,240439
5,3,241561
5,4,242736
5,5,242878
5,4,244053
5,3,244522
4,3,245696
3,3,246069
3,4,266229
2,4,267230
1,4,268463
1,3,269587
2,3,270679
2,2,275943
2,1,276326
2,2,280175
3,2,281209
4,2,281708
