x,y,t
0,0,0
1,0,7127
1,1,7471
1,2,8041
0,2,9133
0,3,9634
0,4,10141
0,5,10179
0,6,10211
0,7,10241
0,8,10274
0,9,12787
0,10,13021
0,11,13874
0,12,14107
0,13,14292
1,13,15040
0,13,15606
0,12,16348
0,11,17002
1,11,20683
1,10,21490
1,9,21998
1,8,22033
1,7,22067
1,6,22095
1,5,22129
1,4,22165
1,3,22197
1,2,22226
1,1,25983
1,0,26467
2,0,32076
2,1,33037
2,2,33693
2,3,33913
2,4,34121
2,5,34326
2,6,34789
3,6,36229
3,7,37208
3,8,37685
2,8,38588
2,9,39166
2,10,39389
2,11,39585
2,12,39791
3,12,41256
3,13,41898
4,13,43043
5,13,43354
6,13,43549
7,13,43746
8,13,43950
8,12,44926
9,12,45543
10,12,45988
10,13,46605
11,13,47126
12,13,47381
13,13,48408
13,12,51730
13,11,52179
13,10,52628
12,10,53719
12,11,54339
12,12,54780
11,12,56010
11,11,56442
10,11,57645
9,11,57930
8,11,58218
7,11,60080
7,12,61025
7,11,61807
6,11,63834
5,11,64296
5,12,65177
5,11,66523
4,11,67008
3,11,67471
3,10,68452
4,10,69952
5,10,70162
6,10,70366
7,10,70551
8,10,70878
9,10,71385
9,9,72581
10,9,75079
11,9,75423
12,9,75834
12,8,79177
12,7,80145
13,7,80890
13,6,81357
13,5,81616
13,4,81793
13,3,82004
12,3,84294
12,2,84866
12,1,85209
12,0,85686
11,0,86758
10,0,87319
9,0,87527
8,0,87703
7,0,87874
6,0,88053
5,0,88229
4,0,88711
3,0,89184
2,0,93526
3,0,94811
3,1,95156
3,2,95531
3,3,95924
3,4,96307
3,5,96814
4,5,98341
4,6,98742
4,7,99083
4,8,99274
4,9,99478
3,9,100479
4,9,102155
5,9,102621
6,9,102816
7,9,103007
8,9,103210
8,8,108090
9,8,109061
10,8,109486
11,8,109695
12,8,109899
12,7,111836
12,6,112229
12,5,112468
12,4,112703
12,3,113912
11,3,115512
11,2,115905
11,1,116249
10,1,117431
9,1,118123
9,2,119007
10,2,125136
10,3,126455
10,4,126893
11,4,127713
11,5,128311
11,6,128638
11,7,129014
10,7,129802
9,7,130091
8,7,130393
7,7,130750
7,8,132043
6,8,132698
5,8,133153
5,7,134659
6,7,136047
5,7,136473
5,6,136802
5,5,137183
5,4,138098
5,3,138574
4,3,139755
4,2,140502
4,1,140918
5,1,141636
6,1,142028
6,2,143590
6,3,144033
6,4,144558
6,5,145040
7,5,146334
7,6,146780
7,5,147253
8,5,148427
9,5,148877
9,6,149625
10,6,150634
10,5,151020
9,5,152134
9,4,152619
9,3,153084
8,3,155216
8,2,155638
7,2,156805
7,3,157143
7,4,157537
8,4,158034
