x,y,t
0,0,0
1,0,3094
1,1,3778
1,2,7958
0,2,8296
0,3,8857
0,4,9062
0,5,9246
0,6,9401
0,7,9567
0,8,9724
0,9,9896
0,10,10077
0,11,10262
0,12,10448
0,13,10643
1,13,11078
0,13,11504
0,12,13204
0,11,14388
1,11,15081
1,10,16296
1,9,16531
1,8,16729
1,7,16929
1,6,17139
1,5,17354
1,4,17555
1,3,17776
2,3,19934
2,2,20849
2,1,21142
2,0,21444
3,0,23768
3,1,24361
4,1,24856
4,0,27113
5,0,28164
5,1,29408
6,1,29921
6,0,30622
7,0,31135
8,0,31382
9,0,32431
9,1,34039
10,1,35322
10,0,35892
11,0,36821
12,0,38331
12,1,39859
12,2,40396
11,2,41729
11,1,42300
11,2,43819
11,3,45439
12,3,45920
13,3,46271
13,4,47258
13,5,47468
13,6,47671
13,7,47908
12,7,48696
12,8,49095
12,9,49355
12,10,50415
13,10,50805
13,11,51235
13,12,51460
13,13,51713
12,13,53155
12,12,54439
12,11,54747
11,11,55512
11,12,56061
11,13,56353
10,13,57086
10,12,58645
10,11,58928
10,12,61734
9,12,62010
8,12,63041
8,13,64355
7,13,65402
6,13,65633
5,13,65866
4,13,66124
3,13,66412
3,12,67078
2,12,67976
2,11,69129
2,10,69412
2,9,69685
2,8,69974
3,8,71287
3,9,72342
3,10,72611
3,11,72896
4,11,73397
4,10,74232
4,9,74524
4,8,74782
5,8,75903
5,9,76525
5,10,76809
5,11,77117
5,12,77630
5,11,77982
6,11,78511
6,10,80461
6,9,80743
6,8,80998
7,8,81978
7,9,82609
7,10,82862
7,11,83140
7,12,83433
7,11,83751
8,11,84099
9,11,84395
8,11,85809
8,10,86116
8,9,86382
8,8,86786
9,8,87316
9,9,87779
9,10,88154
9,9,88917
10,9,89204
11,9,90129
11,8,92536
10,8,93099
11,8,100267
11,7,101736
11,6,102167
12,6,102680
12,5,104470
12,4,104842
11,4,105367
11,5,105878
10,5,108082
10,6,109591
10,7,109898
9,7,110633
8,7,110817
7,7,110980
6,7,111167
5,7,111349
4,7,111548
3,7,111743
3,6,112882
2,6,113331
2,5,113964
2,4,114325
3,4,114778
3,3,116181
3,2,117058
4,2,117535
4,3,118366
5,3,118978
6,3,119789
6,2,120420
7,2,120871
8,2,121118
9,2,121363
10,2,121647
10,3,123273
9,3,123869
10,3,125439
10,4,125907
9,4,126368
9,5,126805
9,6,127427
9,5,129109
8,5,131277
7,5,131561
8,5,132366
8,4,132896
8,3,133149
7,3,133941
7,4,134506
7,5,137178
7,6,137453
7,5,138665
6,5,141058
6,4,143732
5,4,144319
5,5,145224
5,6,145575
4,6,146447
4,5,147036
3,5,147420
