x,y,t
0,0,0
1,0,1492
2,0,2020
3,0,2052
4,0,2084
5,0,2117
6,0,2148
7,0,2180
8,0,2212
9,0,2244
10,0,2277
11,0,2311
12,0,2342
12,1,3454
12,2,3738
12,3,4120
13,3,4363
13,4,4668
13,5,5209
13,6,5232
13,7,5264
13,6,5837
13,5,6120
13,4,6320
12,4,6558
12,5,6787
12,6,7028
12,7,7246
12,8,7485
12,9,7710
12,10,7911
13,10,8086
13,11,8322
13,12,8569
13,13,8773
12,13,9081
12,12,9308
12,11,9637
11,11,9861
11,12,10114
11,13,10362
10,13,10622
10,12,10927
10,11,11220
9,11,11522
9,12,11747
9,11,12383
8,11,12698
8,12,12998
8,13,13357
7,13,13648
6,13,13913
5,13,14146
4,13,14362
3,13,14559
3,12,14860
2,12,15059
2,11,15340
1,11,15530
0,11,15831
0,12,16520
0,13,16771
1,13,17051
0,13,17378
0,12,17719
0,11,18112
0,10,18373
1,10,18478
2,10,18699
3,10,18979
3,11,19233
4,11,19412
5,11,19736
5,12,20083
5,11,20347
6,11,20563
7,11,20839
7,12,21132
7,11,21359
7,10,21574
8,10,21866
9,10,22079
8,10,22371
7,10,22615
6,10,22827
5,10,23031
4,10,23312
4,9,23581
3,9,23789
2,9,24335
1,9,24356
0,9,24388
0,8,24739
0,7,25266
0,6,25294
0,5,25326
0,4,25359
0,3,25405
0,2,25425
1,2,25886
1,1,26171
1,2,26474
1,3,27011
1,4,27042
1,5,27074
1,6,27109
1,7,27143
1,8,27172
1,9,27205
1,10,27238
1,11,27271
1,10,27636
1,9,28170
1,8,28501
1,7,28736
1,6,29782
1,7,29828
1,8,30171
2,8,30438
3,8,30975
4,8,31000
5,8,31032
6,8,31064
7,8,31097
8,8,31311
9,8,31516
9,9,31809
8,9,31996
7,9,32255
6,9,32465
7,9,32732
6,9,32867
5,9,33236
6,9,33476
7,9,34019
8,9,34042
9,9,34073
10,9,34106
11,9,34140
12,9,34170
11,9,34589
11,8,34893
10,8,35076
10,7,35355
11,7,35745
11,6,35939
11,5,36470
11,4,36503
11,3,36535
11,2,36566
11,1,36602
11,0,36630
10,0,36900
10,1,37297
9,1,37561
9,2,37865
10,2,38139
10,1,38314
10,2,38328
10,3,38730
9,3,39014
9,4,39243
10,4,39542
10,5,39774
9,5,40069
9,6,40320
10,6,40555
9,6,40767
9,7,41186
8,7,41447
7,7,41597
6,7,42135
5,7,42160
4,7,42192
3,7,42224
3,6,42595
2,6,42764
3,6,43100
4,6,43630
5,6,43661
5,5,43942
6,5,44140
7,5,44516
7,6,44906
7,5,45148
8,5,45389
8,4,45649
7,4,45936
6,4,46173
5,4,46392
5,5,46672
4,5,46839
3,5,47373
2,5,47405
2,4,47772
3,4,48011
3,3,48305
2,3,48623
2,2,48848
2,1,49104
3,1,49319
3,2,49696
4,2,50004
4,3,50319
5,3,50579
6,3,50851
7,3,51053
8,3,51263
8,2,51573
7,2,51771
6,2,52103
6,1,52331
5,1,52547
4,1,52826
