x,y,t
0,0,0
1,0,7239
1,1,7576
2,1,7876
2,0,8276
3,0,8576
3,1,8842
4,1,9175
4,0,9459
5,0,9759
5,1,10074
6,1,10407
6,0,10675
7,0,10975
8,0,11208
9,0,11407
9,1,11692
10,1,12008
10,0,12374
11,0,13470
12,0,13858
12,1,14174
11,1,14524
11,2,14893
12,2,15317
12,3,15642
13,3,15958
13,4,16293
13,5,16541
13,6,16789
13,7,17190
12,7,17791
12,8,18175
12,9,18491
12,10,18741
13,10,19091
13,11,19640
13,12,20055
13,13,20742
12,13,22076
12,12,22442
12,11,23453
11,11,23776
11,12,24094
11,13,24476
10,13,24843
10,12,25869
10,11,26594
9,11,28580
9,10,29041
9,9,29411
10,9,30463
11,9,30848
11,8,31195
11,7,31530
11,6,31845
12,6,32308
12,5,32632
12,4,33932
11,4,34232
11,5,35433
10,5,35781
10,4,36099
10,3,36714
11,3,37675
11,2,38160
10,2,38466
9,2,38849
9,3,40951
9,4,41234
9,5,41501
9,6,41850
10,6,42201
10,7,42517
10,8,43084
9,8,43433
9,7,43766
8,7,44066
7,7,46885
7,6,47169
7,5,47451
8,5,47768
8,4,48052
8,3,48267
8,2,48484
7,2,48884
7,3,49637
7,4,50001
6,4,50367
6,3,50813
6,2,51102
6,3,51466
5,3,51751
4,3,51968
4,2,52267
3,2,52567
2,2,52784
1,2,53001
0,2,53180
0,3,53552
1,3,53918
2,3,54151
3,3,54384
3,4,54685
2,4,54984
1,4,55182
0,4,55384
0,5,55717
1,5,56251
2,5,56448
3,5,56631
4,5,56811
5,5,57034
5,4,57367
6,4,57667
6,5,58094
7,5,58434
7,6,58683
7,7,58917
6,7,59251
5,7,59484
5,6,59768
4,6,60051
3,6,60249
2,6,60410
1,6,60597
0,6,60762
0,7,61085
1,7,61935
1,8,62467
0,8,63462
0,9,63931
1,9,64569
2,9,64982
2,8,66045
3,8,66386
3,7,66718
4,7,67069
4,8,67363
5,8,67677
6,8,67885
7,8,68102
8,8,68281
8,9,68635
8,10,68850
8,11,69068
8,12,69497
9,12,70561
8,12,70981
8,13,71297
7,13,71618
7,12,71951
7,11,72984
7,10,73514
7,9,73884
6,9,75044
6,10,75685
6,11,75969
5,11,76336
5,12,76669
5,13,76969
6,13,77302
5,13,78402
4,13,78719
3,13,79052
3,12,79436
3,11,80119
4,11,80485
4,10,80786
5,10,81816
5,9,82169
4,9,82496
3,9,82803
3,10,83120
2,10,83503
2,11,85238
2,12,85874
2,11,86540
1,11,86852
1,10,87250
1,11,87841
1,10,88388
0,10,88756
0,11,89143
0,12,89337
0,13,89538
1,13,89820
