x,y,t
0,0,0
1,0,8252
2,0,8763
3,0,8793
4,0,8824
5,0,8857
6,0,8887
6,1,9723
5,1,10667
4,1,10923
4,2,12059
3,2,12331
2,2,12627
2,3,13091
1,3,13419
0,3,13716
0,4,14499
1,4,14787
1,5,15195
0,5,15436
0,6,16267
1,6,17939
2,6,18227
3,6,18651
4,6,19211
3,6,20243
3,7,20539
2,7,20907
1,7,21219
0,7,21611
0,6,23411
0,5,23915
0,4,23948
0,3,23992
1,3,24443
2,3,25339
3,3,27099
3,4,27403
4,4,27795
5,4,28683
5,5,28923
6,5,29291
6,6,29563
6,7,29987
7,7,30315
7,6,30651
7,5,30915
7,4,31436
6,4,31771
6,3,34698
5,3,35156
4,3,35499
4,2,35899
5,2,36187
6,2,36539
7,2,36867
7,3,37123
