x,y,t
0,0,0
1,0,2303
2,0,2836
3,0,3353
4,0,17431
5,0,17873
6,0,18373
6,1,18857
6,2,19323
7,2,20809
7,3,21342
7,4,21842
7,5,22275
7,6,22759
7,7,23276
6,7,23727
6,6,24177
6,5,24644
6,4,25078
6,3,25596
5,3,26079
5,2,26497
5,1,27014
4,1,27480
4,2,27914
3,2,28347
2,2,28831
2,3,35133
1,3,35563
0,3,35980
0,4,36399
0,5,36811
0,6,37267
0,7,37714
1,7,38132
2,7,38518
3,7,38952
3,6,39352
4,6,39736
3,6,40104
2,6,40536
1,6,40968
1,5,41369
1,4,41789
1,3,42601
2,3,43352
3,3,43871
3,4,48109
4,4,49810
4,3,50461
5,3,51979
5,4,52367
5,5,52778
