x,y,t
0,0,0
1,0,4639
2,0,4954
3,0,6001
4,0,7153
5,0,21735
6,0,22156
6,1,22769
6,2,23170
7,2,24155
7,3,24472
7,4,24702
7,5,24919
7,6,25153
7,7,25453
6,7,25935
6,6,26268
6,5,26535
6,4,26768
6,3,27034
6,2,29852
6,1,30220
6,0,30501
5,0,30772
5,1,31355
5,2,31655
5,3,31969
5,4,32651
5,5,33757
5,4,34184
4,4,34769
4,3,35185
4,2,35552
4,1,35855
4,2,36287
3,2,36652
3,3,37624
3,4,38498
3,3,39139
2,3,39468
2,2,39805
2,3,40317
1,3,40719
0,3,41415
0,4,41986
0,5,42304
0,6,42516
0,7,42872
1,7,43384
2,7,43822
3,7,44301
3,6,44788
4,6,45151
3,6,45538
2,6,45884
1,6,46937
1,5,47303
1,4,47670
