x,y,t
0,0,0
1,0,5325
2,0,5693
3,0,5893
4,0,8797
4,1,9276
4,2,9632
3,2,10160
2,2,10726
2,3,11202
1,3,11638
0,3,11937
0,4,12646
0,5,12916
0,4,14203
1,4,14868
1,5,15169
0,5,16424
0,6,16782
0,7,17542
1,7,17892
1,6,18222
2,6,18648
2,7,19071
3,7,19388
3,6,19755
4,6,20125
3,6,24672
2,6,24867
1,6,25186
1,5,25493
1,4,25722
1,3,26038
2,3,26390
3,3,26935
3,4,27301
4,4,27740
5,4,28124
6,4,28391
5,4,28904
5,5,29551
6,5,30113
6,6,30547
7,6,30740
7,7,31684
6,7,32275
7,7,32953
7,6,33471
7,5,33657
7,4,33811
7,3,34116
6,3,34539
5,3,34792
4,3,35419
5,3,35717
6,3,35941
7,3,36155
7,2,36613
6,2,37075
5,2,37389
5,1,37888
5,0,38555
6,0,38850
6,1,39425
