x,y,t
0,0,0
1,0,822
2,0,2218
3,0,2607
4,0,2899
4,1,3812
4,2,4694
3,2,5374
2,2,5748
2,3,6211
1,3,6645
0,3,7059
0,4,7501
1,4,10193
1,5,10521
0,5,10896
0,6,11248
0,7,12522
1,7,13058
1,6,14677
2,6,15063
3,6,15394
4,6,15782
3,6,17125
2,6,17549
2,7,17933
3,7,18278
2,7,18628
1,7,18942
1,6,19810
1,5,20461
1,4,20706
1,3,21129
2,3,21553
3,3,21940
3,4,22429
4,4,22721
5,4,23078
5,5,23657
6,5,24137
6,6,24528
6,7,24814
7,7,25050
7,6,25459
7,5,25880
7,4,26244
7,3,26627
7,2,26998
7,3,27540
7,4,27757
6,4,28105
6,3,28482
5,3,28856
4,3,29111
4,2,29858
5,2,30316
6,2,30610
6,1,31034
5,1,31477
5,0,31833
6,0,32207
