x,y,t
0,0,0
1,0,2783
2,0,3318
3,0,3670
4,0,4029
5,0,4430
6,0,4892
6,1,5791
5,1,7837
5,2,13698
6,2,14444
7,2,14885
7,3,15996
6,3,17463
5,3,18092
4,3,18556
3,3,20416
3,4,21197
4,4,21693
5,4,22155
6,4,22837
7,4,23849
7,5,24376
7,6,26350
7,7,26794
6,7,28550
6,6,29891
6,5,30358
5,5,30982
5,4,34090
4,4,34586
3,4,35020
4,4,37811
4,3,38981
4,2,39384
3,2,40808
2,2,41438
2,3,41853
1,3,42365
0,3,44032
0,4,44471
1,4,45108
1,5,45425
0,5,45902
0,6,46552
0,7,48085
1,7,49121
1,6,50978
2,6,51587
2,7,52010
3,7,52363
3,6,52749
4,6,53219
3,6,56103
2,6,56325
1,6,56532
0,6,56712
0,5,57974
0,4,58190
0,3,58393
1,3,59148
2,3,59391
3,3,59618
4,3,59837
4,2,61232
4,1,61436
