x,y,t
0,0,0
1,0,71346
2,0,71606
3,0,72133
4,0,79325
5,0,79681
6,0,80982
6,1,84171
5,1,84879
4,1,85355
4,2,86110
5,2,86546
6,2,87094
7,2,87670
7,3,123888
7,4,124118
7,5,124323
7,6,124712
7,7,125104
6,7,125501
6,6,126173
6,5,128948
5,5,129473
5,4,130940
6,4,131290
6,3,131709
5,3,132214
4,3,132961
3,3,135109
3,4,138317
4,4,139618
3,4,140525
3,3,140913
3,2,141347
2,2,141736
2,3,142242
1,3,142726
0,3,143194
0,4,143837
0,3,146109
0,4,146770
1,4,147714
1,5,148311
0,5,148848
0,6,149361
0,7,150460
1,7,151360
1,6,151801
1,7,153417
2,7,154494
2,6,155140
3,6,155721
3,7,156432
3,6,156799
4,6,157157
