x,y,t
0,0,0
1,0,1570
2,0,1999
3,0,2632
4,0,3399
5,0,4765
6,0,6082
6,1,6949
6,2,8049
7,2,8697
7,3,9366
7,4,9849
7,5,10532
7,6,11266
7,7,11766
6,7,12849
6,6,14400
6,5,14884
6,4,15500
6,3,16150
6,2,16683
6,1,18217
5,1,19816
4,1,21167
5,1,25001
5,2,26250
4,2,28567
3,2,29484
2,2,31086
2,3,33134
1,3,33667
0,3,34285
0,4,35451
1,4,36420
1,5,36918
0,5,37635
0,6,39833
1,6,40618
2,6,42618
3,6,43102
4,6,44934
3,6,45785
3,7,46519
2,7,47286
1,7,48269
0,7,50519
0,6,52185
0,5,52802
0,4,53588
0,3,54369
1,3,55156
2,3,55769
3,3,56619
4,3,57103
5,3,59586
5,4,60403
5,5,60986
5,4,62502
4,4,63453
3,4,63953
