x,y,t
0,0,0
1,0,2684
2,0,2996
3,0,3298
4,0,4676
4,1,5028
5,1,5412
5,0,5835
6,0,6340
6,1,6723
6,2,8364
7,2,8995
7,3,9915
7,4,10179
7,5,10403
7,6,10651
7,7,11209
6,7,11539
6,6,11818
6,5,12050
5,5,14059
5,4,14603
6,4,15043
6,3,15481
5,3,16011
5,2,16481
4,2,17010
3,2,17330
3,3,23354
4,3,23810
4,4,24296
3,4,24921
3,3,27826
2,3,28186
2,2,28480
2,3,29122
1,3,29474
1,4,30298
0,4,31002
0,3,31242
0,4,31642
0,5,32002
0,6,32368
0,7,32761
1,7,33920
2,7,34706
3,7,36305
3,6,36674
4,6,37057
3,6,37354
2,6,37609
1,6,38042
1,5,38377
